0610799M;A.d.f.i.;lprof;prive;61001;Alençon
0610721C;Jeanne D Arc;lprof;prive;61203;Argentan
0611018A;-;lprof;prive;61220;Briouze
0611020C;-;lprof;prive;61210;Giel-Courteilles
0610724F;Esat De Giel;lprof;prive;61210;Giel-Courteilles
0611175W;Ctre Form Technicien Agricole;lprof;prive;61600;La Ferté-Macé
0611021D;-;lprof;prive;61240;Nonant-Le-Pin
0611273C;Inst Rééduc Psychothérap;lprof;prive;61190;Saint-Maurice-Les-Charencey
0610731N;Inst. Rééduc. Psycho-Thérap.;lprof;prive;61190;Saint-Maurice-Les-Charencey
0611157B;Maréchal Leclerc;lprof;public;61014;Alençon
0610004Y;Marcel Mézen;lprof;public;61041;Alençon
0610746E;-;lprof;public;61000;Alençon
0610049X;Jean Guéhénno;lprof;public;61105;Flers
0610022T;Fernand Léger;lprof;public;61104;Flers
0610027Y;Napoléon;lprof;public;61306;L' Aigle
0610019P;Flora Tristan;lprof;public;61600;La Ferté-Macé
0610050Y;Des Andaines;lprof;public;61600;La Ferté-Macé
0610055D;Le Pin Au Haras;lprof;public;61310;Le Pin-Au-Haras
0611179A;St François De Sales;lycee;prive;61000;Alençon
0610692W;St François De Sales;lycee;prive;61000;Alençon
0610694Y;Jeanne D Arc;lycee;prive;61203;Argentan
0610698C;Saint Thomas D'aquin;lycee;prive;61105;Flers
0611158C;Sainte Marie;lycee;prive;61103;Flers
0610718Z;Notre Dame;lycee;prive;61105;Flers
0610697B;Immaculée Conception;lycee;prive;61100;Flers
0610700E;Bignon;lycee;prive;61400;Mortagne-Au-Perche
0610702G;Marie Immaculée;lycee;prive;61500;Sées
0611249B;Institut Croix Des Vents;lycee;prive;61500;Sées
0611147R;L Espérance;lycee;prive;61800;Tinchebray
0610002W;Marguerite De Navarre;lycee;public;61014;Alençon
0610001V;Alain;lycee;public;61014;Alençon
0610006A;Mezeray;lycee;public;61200;Argentan
0611182D;Gabriel;lycee;public;61204;Argentan
0610014J;Auguste Chevalier;lycee;public;61700;Domfront
0610021S;Jean Guéhénno;lycee;public;61105;Flers
0611192P;Fernand Léger;lycee;public;61104;Flers
0610026X;Napoléon;lycee;public;61306;L' Aigle
0610018N;Des Andaines;lycee;public;61600;La Ferté-Macé
0611148S;Jean Monnet;lycee;public;61400;Mortagne-Au-Perche
0610790C;-;lycee;public;61500;Sées
0610704J;Immaculée Conception;college;prive;61000;Alençon
0611091E;St François De Sales;college;prive;61000;Alençon
0610693X;Notre Dame;college;prive;61000;Alençon
0611099N;Jeanne D Arc;college;prive;61203;Argentan
