0160001P;-;college;public;16140;Aigre
0160002R;Guez De Balzac;lycee;public;16016;Angoulême
0160003S;Marguerite De Valois;lycee;public;16017;Angoulême
0160004T;Charles Augustin De Coulomb;lycee;public;16016;Angoulême
0160005U;Jules Michelet;college;public;16000;Angoulême
0160006V;L'Oisellerie;lycee;public;16400;La-Couronne
0160010Z;Elie Vinet;lycee;public;16300;Barbezieux-Saint-Hilaire
0160012B;Alfred De Vigny;college;public;16250;Blanzac-Porcheresse
0160015E;-;college;public;16210;Chalais
0160016F;de l'Argentor;college;public;16350;Champagne-Mouton
0160020K;Jean Monnet;lycee;public;16100;Cognac
0160022M;Emile Roux;lprof;public;16500;Confolens
0160024P;-;college;public;16400;La-Couronne
0160027T;Jean Lartaut;college;public;16200;Jarnac
0160029V;Alfred Renoleau;college;public;16230;Mansle
0160030W;-;college;public;16220;Montbron
0160031X;-;college;public;16310;Montemboeuf
0160032Y;Antoine Delafont;college;public;16190;Montmoreau-Saint-Cybard
0160034A;Claudie Haigneré;college;public;16170;Rouillac
0160036C;Jean Caillaud;lprof;public;16600;Ruelle-sur-Touvre
0160039F;du Val de Charente;college;public;16700;Ruffec
0160040G;Eugène Delacroix;college;public;16330;Saint-Amant-de-Boixe
0160042J;Font-Belle;college;public;16130;Segonzac
0160043K;Henri Martin;college;public;16320;Villebois-Lavalette
0160047P;Charles Augustin De Coulomb;lprof;public;16016;Angoulême
0160048R;Pierre-André Chabanne;lprof;public;16260;Chasseneuil-sur-Bonnieure
0160049S;Jean Rostand;lprof;public;16017;Angoulême
0160050T;Jules Verne;college;public;16000;Angoulême
0160061E;Sainte-Marthe - Chavagnes;college;prive;16000;Angoulême
0160062F;Saint-Paul;lycee;prive;16007;Angoulême
0160063G;Sainte-Marie;lycee;prive;16300;Barbezieux-Saint-Hilaire
0160065J;de Beaulieu;lycee;prive;16100;Cognac
0160073T;Saint-Gauthier;college;prive;16500;Confolens
0160075V;Jean XXIII;college;prive;16200;Jarnac
0160076W;de l'Enfant Jésus;college;prive;16110;La-Rochefoucauld
0160077X;Sacré-Coeur;college;prive;16700;Ruffec
0160079Z;Sainte-Marthe;lprof;prive;16000;Angoulême
0160083D;Saint-Joseph - L'Amandier;lprof;prive;16710;Saint-Yrieix-sur-Charente
0160094R;Norbert Casteret;college;public;16600;Ruelle-sur-Touvre
0160100X;Romain Rolland;college;public;16800;Soyaux
0160106D;René Cassin;college;public;16160;Gond-Pontouvre
0160108F;Félix Gaillard;lprof;public;16300;Salles-de-Barbezieux
0160113L;La Grande Garenne;college;public;16000;Angoulême
0160115N;Albert Micheneau;college;public;16240;Villefagnan
0160116P;Elisée Mousnier;college;public;16100;Cognac
0160117R;Félix Gaillard;college;public;16100;Cognac
0160119T;Louis Delage;lprof;public;16100;Cognac
0160120U;Jean De La Quintinie;college;public;16150;Chabanais
0160792Z;du bâtiment;lprof;public;16022;Angoulême
0160793A;Jean Michaud;college;public;16270;Roumazières-Loubert
0160862A;Jean-Albert Grégoire;lprof;public;16800;Soyaux
0160863B;Maurice Genevoix;college;public;16120;Châteauneuf-sur-Charente
0160864C;Claude Boucher;college;public;16100;Cognac
0160865D;Jean Monnet;lprof;public;16108;Cognac
0160866E;Jean Moulin;college;public;16300;Barbezieux-Saint-Hilaire
0160867F;Jean Rostand;college;public;16110;La-Rochefoucauld
0160882X;Louis Pasteur;college;public;16260;Chasseneuil-sur-Bonnieure
0160884Z;Marguerite De Valois;college;public;16000;Angoulême
0160894K;Pierre Mendès-France;college;public;16800;Soyaux
0160895L;André Malraux;college;public;16360;Baignes-Sainte-Radegonde
0160944P;Noël-Noël;college;public;16500;Confolens
0160968R;-;EREA;public;16000;Angoulême
0160969S;Puygrelier;college;public;16470;Saint-Michel
0161003D;La Garenne;lprof;public;16700;Ruffec
0161048C;Saint-Paul;college;prive;16000;Angoulême
0161049D;Sainte-Marie;college;prive;16300;Barbezieux-Saint-Hilaire
0161050E;Saint-Joseph;college;prive;16100;Cognac
0161075G;Pierre Bodet;college;public;16000;Angoulême
0161095D;de l'Image et du Son;lprof;public;16022;Angoulême
0161106R;Anatole France;college;public;16000;Angoulême
0170002K;Arlette Guirado;college;public;17520;Archiac
0170004M;-;college;public;17770;Burie
0170005N;Aliénor D'Aquitaine;college;public;17480;Le-Château-d'Oléron
0170007R;Jean Monnet;college;public;17170;Courçon
0170008S;Les Vieilles Vignes;college;public;17120;Cozes
0170009T;Jules Ferry;college;public;17260;Gémozac
0170010U;Françoise Dolto;college;public;17220;La-Jarrie
0170011V;Léopold Dussaigne;college;public;17500;Jonzac
0170012W;La Trézence;college;public;17330;Loulay
0170016A;Didier Daurat;college;public;17150;Mirambeau
0170020E;Emile Combes;lycee;public;17800;Pons
0170022G;Maurice Merleau-Ponty;lycee;public;17304;Rochefort
0170025K;Gilles Jamain;lprof;public;17312;Rochefort
0170027M;René-Josué Valin;lycee;public;17023;La-Rochelle
0170028N;Jean Dautet;lycee;public;17022;La-Rochelle
0170029P;Léonce Vieljeux;lycee;public;17026;La-Rochelle
0170030R;Léonce Vieljeux;lprof;public;17026;La-Rochelle
0170031S;Pierre Doriole;lprof;public;17012;La-Rochelle
0170035W;Beauregard;college;public;17000;La-Rochelle
0170042D;Cordouan;lycee;public;17205;Royan
0170043E;Samuel De Champlain;lprof;public;17205;Royan
0170044F;Pierre et Marie Curie;lprof;public;17205;Royan
0170047J;Jean Monnet;college;public;17620;Saint-Agnant
0170048K;Bernard Roussillon;college;public;17360;Saint-Aigulin
0170049L;Maurice Chastang;college;public;17240;Saint-Genis-de-Saintonge
0170050M;Raymond Bouyer;college;public;17770;Saint-Hilaire-de-Villefranche
0170051N;Louis Audouin-Dubreuil;lycee;public;17415;Saint-Jean-d'Angély
0170052P;mécanique agricole Blaise Pascal;lprof;public;17415;Saint-Jean-d'Angély
0170055T;-;college;public;17250;Saint-Porchaire
0170056U;Robert Cellerier;college;public;17350;Saint-Savinien
0170058W;Bellevue;lycee;public;17107;Saintes
0170059X;Agrippa d'Aubigné;college;public;17100;Saintes
0170060Y;Bernard Palissy;lycee;public;17107;Saintes
0170063B;Edgar Quinet;college;public;17100;Saintes
0170070J;-;lprof;public;17700;Surgères
