0090001C;Mario Beulaygue;college;public;09110;Ax-les-Thermes
0090002D;Gabriel Fauré;lycee;public;09008;Foix
0090003E;Jean Durroux;lprof;public;09008;Foix
0090006H;Joseph-Marie Jacquard;lprof;public;09300;Lavelanet
0090007J;Victor Hugo;college;public;09300;Lavelanet
0090009L;François Verdier;college;public;09210;Lézat-sur-Lèze
0090010M;du Plantaurel;college;public;09290;Le-Mas-d'Azil
0090012P;Victor Hugo;college;public;09270;Mazères
0090013R;-;lycee;public;09500;Mirepoix
0090015T;du Castella;lycee;public;09104;Pamiers
0090018W;du Couserans;lycee;public;09200;Saint-Girons
0090019X;Aristide Bergès;lprof;public;09200;Saint-Girons
0090020Y;François Camel;lprof;public;09200;Saint-Girons
0090022A;agricole;lprof;public;09100;Pamiers
0090023B;du Girbet;college;public;09700;Saverdun
0090024C;Docteur Philippe Tissié;lprof;public;09700;Saverdun
0090025D;Jules Palmade;college;public;09140;Seix
0090028G;du Montcalm;college;public;09220;Vicdessos
0090036R;Notre-Dame;lycee;prive;09100;Pamiers
0090037S;Jean XXIII;college;prive;09100;Pamiers
0090038T;du Sacré-Coeur;college;prive;09200;Saint-Girons
0090041W;Saint-Joseph;college;prive;09400;Tarascon-sur-Ariège
0090045A;Les Jacobins;lprof;prive;09100;Pamiers
0090055L;Pierre Bayle;college;public;09100;Pamiers
0090056M;Jean-Pierre Rambaud;college;public;09100;Pamiers
0090478W;Joseph Lakanal;college;public;09000;Foix
0090481Z;-;EREA;public;09100;Pamiers
0090490J;Louis Pasteur;college;public;09300;Lavelanet
0090543S;Irénée Cros;lprof;public;09103;Pamiers
0090546V;du Sabarthes;college;public;09400;Tarascon-sur-Ariège
0090573Z;-;college;public;09500;Mirepoix
0090574A;-;college;public;09200;Saint-Girons
0090591U;Notre-Dame;college;prive;09100;Pamiers
0120002M;Voltaire;college;public;12700;Capdenac-Gare
0120004P;Jean Jaurès;college;public;12110;Cransac
0120006S;-;lycee;public;12300;Decazeville
0120011X;-;college;public;12330;Marcillac-Vallon
0120012Y;Jean Vigo;lycee;public;12104;Millau
0120014A;Jean Vigo;lprof;public;12104;Millau
0120016C;-;college;public;12600;Mur-de-Barrez
0120017D;Jean Boudou;college;public;12800;Naucelle
0120018E;Jean Amans;college;public;12290;Pont-de-Salars
0120019F;Célestin Sourèzes;college;public;12170;Réquista
0120020G;-;college;public;12240;Rieupeyroux
0120021H;-;college;public;12390;Rignac
0120022J;Ferdinand Foch;lycee;public;12000;Rodez
0120024L;Alexis Monteil;lycee;public;12034;Rodez
0120025M;Jean Jaurès;lprof;public;12401;Saint-Affrique
0120028R;Denys Puech;college;public;12130;Saint-Geniez-d'Olt
0120029S;Jean D'Alembert;college;public;12150;Sévérac-le-Château
0120031U;-;lycee;public;12203;Villefranche-de-Rouergue
0120032V;Albert Camus;college;public;12160;Baraqueville
0120036Z;-;lprof;public;12300;Decazeville
0120037A;Alexis Monteil;lprof;public;12034;Rodez
0120038B;Ferdinand Foch;lprof;public;12000;Rodez
0120051R;Jeanne D'Arc;lycee;prive;12104;Millau
0120052S;de l'Immaculée Conception;lycee;prive;12500;Espalion
0120054U;Sainte-Foy;lycee;prive;12300;Decazeville
0120055V;Dominique Savio;college;prive;12240;Rieupeyroux
0120056W;Sainte-Marie;lycee;prive;12000;Rodez
0120058Y;Sainte-Procule;lycee;prive;12000;Rodez
0120059Z;Saint-Gabriel;lycee;prive;12402;Saint-Affrique
0120061B;Saint-Joseph;lycee;prive;12200;Villefranche-de-Rouergue
0120062C;Saint-Géraud;college;prive;12220;Montbazens
0120064E;Saint-Pierre;college;prive;12600;Mur-de-Barrez
0120067H;Sainte-Marie;college;prive;12290;Pont-de-Salars
0120068J;Saint-Louis;college;prive;12170;Réquista
0120070L;Jeanne D'Arc;college;prive;12390;Rignac
0120075S;Sainte-Marie;college;prive;12130;Saint-Geniez-d'Olt
0120077U;des Monts et Lacs;college;prive;12410;Salles-Curan
0120078V;Sacré-Coeur;college;prive;12150;Sévérac-le-Château
0120080X;Notre-Dame;college;prive;12160;Baraqueville
0120081Y;Saint-Michel;college;prive;12370;Belmont-sur-Rance
0120082Z;Saint-Louis;college;prive;12700;Capdenac-Gare
0120084B;Sainte-Marie;college;prive;12120;Cassagnes-Bégonhès
0120088F;Saint-Georges;college;prive;12140;Entraygues-sur-Truyère
0120090H;Saint-Dominique;college;prive;12270;La-Fouillade
0120091J;Saint-Matthieu;college;prive;12210;Laguiole
0120092K;Saint-Joseph;college;prive;12330;Marcillac-Vallon
0120096P;du bâtiment;lprof;public;12110;Aubin
0120101V;Joseph Fabre;college;public;12000;Rodez
0120104Y;Saint-Joseph;lycee;prive;12000;Rodez
0120105Z;Marguerite Marie;lprof;prive;12104;Millau
0120111F;-;lprof;prive;12500;Espalion
0120621K;-;lprof;public;12204;Villefranche-de-Rouergue
0120622L;Paul Ramadier;college;public;12300;Decazeville
0120627S;Saint-Joseph;college;prive;12000;Rodez
0120867C;François Marty;lycee;prive;12200;Monteils
0120878P;Marcel Aymard;college;public;12100;Millau
0120914D;Sainte-Geneviève;college;prive;12000;Rodez
0120916F;Sacré-Coeur;college;prive;12000;Rodez
0120918H;Notre-Dame du Sacré-Coeur;college;prive;12000;Rodez
0120937D;-;lycee;public;12850;Rodez
0120938E;-;lprof;public;12400;Saint-Affrique
0121133S;Jean Moulin;college;public;12000;Rodez
0121157T;-;lprof;public;12203;Villefranche-de-Rouergue
0121174L;Saint-Martin;college;prive;12800;Naucelle
0121176N;Louis Denayrouze;college;public;12500;Espalion
0121178R;-;EREA;public;12200;Villefranche-de-Rouergue
0121213D;Francis Carco;college;public;12200;Villefranche-de-Rouergue
0121255Z;Saint-Joseph;college;prive;12200;Villefranche-de-Rouergue
0121256A;Jeanne D'Arc;college;prive;12400;Saint-Affrique
0121257B;Sainte-Foy;college;prive;12300;Decazeville
0121258C;de l'Immaculée Conception;college;prive;12500;Espalion
0121259D;Jeanne D'Arc;college;prive;12100;Millau
0121260E;Saint-Joseph;lprof;prive;12200;Villefranche-de-Rouergue
0121273U;Les Quatre Saisons;college;public;12850;Onet-le-Château
0121288K;-;lprof;prive;12160;Baraqueville
0121291N;horticole;lprof;prive;12390;Rignac
0121292P;horticole;lprof;prive;12400;Saint-Affrique
0121293R;-;lprof;prive;12130;Saint-Geniez-d'Olt
0121295T;de la Viadène;college;public;12460;Saint-Amans-des-Cots
0121297V;Jean Jaurès;college;public;12400;Saint-Affrique
0121309H;Saint-Joseph;lprof;prive;12000;Rodez
0121310J;Jeanne D'Arc;lprof;prive;12402;Saint-Affrique
0121318T;Saint-Joseph;lycee;prive;12200;Villefranche-de-Rouergue
0121319U;Sainte-Foy;lycee;prive;12300;Decazeville
0121378H;Grèzes;lprof;prive;12310;Laissac
0121422F;Saint-Gabriel;lycee;prive;12402;Saint-Affrique
0121423G;Charles Carnus;lycee;prive;12000;Rodez
0121425J;Jeanne D'Arc;lycee;prive;12104;Millau
0121428M;Louis Querbes;lycee;prive;12000;Rodez
0121429N;Louis Querbes;lprof;prive;12000;Rodez
0121430P;Sainte-Geneviève - Saint-Joseph;college;prive;12000;Rodez
0121438Y;Sainte-Marie - Sainte-Procule;lycee;prive;12056;Rodez
0310001H;Armand Latour;college;public;31160;Aspet
0310003K;Emile-Paul Vayssie;college;public;31420;Aurignac
0310005M;Jean Monnet;college;public;31110;Bagnères-de-Luchon
0310006N;du Bois;lprof;public;31110;Montauban-de-Luchon
0310007P;du Pays de la Gesse;college;public;31350;Boulogne-sur-Gesse
0310008R;-;college;public;31480;Cadours
0310012V;du Plantaurel;college;public;31220;Cazères
0310015Y;Pierre et Marie Curie;college;public;31430;Le-Fousseret
0310017A;-;lycee;public;31210;Gourdan-Polignan
0310019C;Léon Cazeneuve;college;public;31230;L'Isle-en-Dodon
0310021E;Georges Brassens;college;public;31380;Montastruc-la-Conseillère
0310022F;Stella Blandy;college;public;31310;Montesquieu-Volvestre
0310023G;Bertrand Laralde;college;public;31210;Montréjeau
0310024H;Pierre D'Aragon;lycee;public;31605;Muret
0310025J;de la Côte de Bétance;college;public;31600;Muret
0310028M;Vincent Auriol;lycee;public;31250;Revel
0310029N;Robert Roger;college;public;31370;Rieumes
0310031R;François Cazes;college;public;31440;Saint-Béat
0310032S;de Bagatelle;lycee;public;31806;Saint-Gaudens
0310033T;Elisabeth et Norbert Casteret;lprof;public;31806;Saint-Gaudens
0310035V;des Trois Vallées;college;public;31260;Salies-du-Salat
0310036W;Pierre De Fermat;lycee;public;31068;Toulouse
0310037X;Clémence Isaure;college;public;31024;Toulouse
0310038Y;Bellevue;lycee;public;31031;Toulouse
0310039Z;Marcelin Berthelot;lycee;public;31078;Toulouse
0310040A;Raymond Naves;lprof;public;31018;Toulouse
0310041B;Saint-Sernin;lycee;public;31070;Toulouse
0310044E;Déodat De Séverac;lycee;public;31076;Toulouse
0310046G;hôtelier;lprof;public;31026;Toulouse
0310047H;Théodore Ozenne;lycee;public;31070;Toulouse
0310049K;Saint-Exupery;lprof;public;31700;Toulouse
0310050L;Maréchal Gallieni;lprof;public;31086;Toulouse
0310051M;Georges Guynemer;lprof;public;31400;Toulouse
0310052N;Roland Garros;lprof;public;31200;Toulouse
0310053P;Bayard;lprof;public;31021;Toulouse
0310054R;Renée Bonnet;lprof;public;31432;Toulouse
0310055S;Marie-Louise Dissard Françoise;lprof;public;31100;Toulouse
0310056T;Gabriel Péri;lprof;public;31908;Toulouse
0310057U;Hélène Boucher;lprof;public;31901;Toulouse
0310083X;Didier Daurat;college;public;31800;Saint-Gaudens
0310084Y;Antonin Perbosc;college;public;31190;Auterive
0310085Z;Château-De-L'Hers;college;public;31500;Toulouse
0310086A;George Sand;college;public;31100;Toulouse
0310087B;du Parc Saint-Agne;lycee;prive;31400;Ramonville-Saint-Agne
0310088C;de l'ameublement;lprof;public;31250;Revel
0310089D;-;lprof;public;31210;Gourdan-Polignan
0310090E;Déodat De Séverac;lprof;public;31076;Toulouse
0310091F;Jolimont;lprof;public;31079;Toulouse
0310092G;Bellevue;college;public;31030;Toulouse
0310093H;Marcelin Berthelot;college;public;31078;Toulouse
0311092U;Eugène Montel;lprof;public;31770;Colomiers
0311093V;Montesquieu;college;public;31270;Cugnaux
0311094W;Georges Chaumeton;college;public;31240;L'Union
0311111P;Croix-Daurade;college;public;31921;Toulouse
0311112R;Henri De Toulouse-Lautrec;college;public;31022;Toulouse
0311126F;Le Ferradou;lycee;prive;31700;Blagnac
0311128H;Sainte-Germaine;college;prive;31210;Montréjeau
0311130K;Joseph Niel;college;prive;31600;Muret
0311131L;Sainte-Thérèse;lprof;prive;31804;Saint-Gaudens
0311132M;de l'Annonciation;lycee;prive;31840;Seilh
0311133N;Le Caousou;lycee;prive;31079;Toulouse
0311134P;Emilie De Rodat;lprof;prive;31027;Toulouse
0311138U;Montalembert - Notre-Dame;lprof;prive;31400;Toulouse
0311144A;Sainte-Famille Des Minimes;college;prive;31200;Toulouse
0311145B;Saint-Joseph;lycee;prive;31079;Toulouse
0311146C;Sainte-Marie des Champs;lycee;prive;31506;Toulouse
0311147D;Sainte-Marie de Nevers;lycee;prive;31070;Toulouse
0311148E;Sainte-Marie des Ursulines;college;prive;31500;Toulouse
0311150G;Saint-Thomas D'Aquin;college;prive;31000;Toulouse
0311160T;Sainte-Thérèse;college;prive;31770;Colomiers
0311162V;Sainte-Geneviève;college;prive;31790;Saint-Jory
0311168B;Sainte-Marie de Nevers;college;prive;31000;Toulouse
0311169C;Saint-Louis;college;prive;31500;Toulouse
0311171E;Saint-Nicolas;college;prive;31300;Toulouse
0311176K;de la Salle;college;prive;31820;Pibrac
0311177L;Limayrac;lprof;prive;31079;Toulouse
0311181R;Les Potiers;lycee;prive;31400;Toulouse
0311183T;Saint-Joseph;lycee;prive;31079;Toulouse
0311186W;Etienne Billières;lprof;prive;31071;Toulouse
0311190A;de coiffure;lprof;prive;31400;Toulouse
0311200L;aéronautique;lprof;prive;31060;Toulouse
0311201M;Myriam;lycee;prive;31000;Toulouse
0311209W;-;lprof;prive;31250;Revel
0311213A;Pigier;lycee;prive;31000;Toulouse
0311219G;Sainte-Marie - Saint-Sernin;lprof;prive;31000;Toulouse
0311231V;Maurice Becanne;college;public;31300;Toulouse
0311232W;Frédéric Estèbe;college;public;31200;Toulouse
0311235Z;Bellefontaine;college;public;31037;Toulouse
0311236A;Pierre De Fermat;college;public;31068;Toulouse
0311237B;Henri Guillaumet;college;public;31700;Blagnac
0311238C;Jean Jaurès;college;public;31770;Colomiers
0311240E;-;EREA;public;31600;Muret
0311262D;-;lycee;public;31326;Castanet-Tolosan
0311263E;du Bois de La Barthe;college;public;31820;Pibrac
0311264F;Jolimont;college;public;31500;Toulouse
0311265G;Lalande;college;public;31924;Toulouse
0311266H;Jean Jaurès;college;public;31320;Castanet-Tolosan
0311268K;-;lprof;public;31806;Saint-Gaudens
0311270M;La Cadène;lycee;prive;31670;Labège
0311319R;Louisa Paulin;college;public;31600;Muret
0311321T;La Reynerie;college;public;31036;Toulouse
0311323V;Rive gauche;lycee;public;31081;Toulouse
0311324W;du Mirail;lprof;public;31081;Toulouse
0311325X;Voltaire;college;public;31770;Colomiers
0311327Z;Alphonse De Lamartine;college;public;31025;Toulouse
0311328A;Les Chalets;college;public;31901;Toulouse
0311330C;Jean Rostand;college;public;31130;Balma
0311332E;Anatole France;college;public;31400;Toulouse
0311333F;Jean Moulin;college;public;31400;Toulouse
0311334G;Jean Rostand;lprof;public;31110;Bagnères-de-Luchon
0311335H;Jean Gay;college;public;31590;Verfeil
0311338L;Emile Zola;college;public;31400;Toulouse
0311570N;La Prairie;college;prive;31400;Toulouse
0311573S;Jean-Paul Laurens;college;public;31450;Ayguesvives
0311580Z;André Abbal;college;public;31390;Carbonne
0311581A;Jean Mermoz;college;public;31700;Blagnac
