0440001M;Joseph-Auguste Joubert;lycee;public;44154;Ancenis
0440005S;Guy Moquet;lycee;public;44146;Châteaubriant
0440008V;François Cacault;college;public;44190;Clisson
0440010X;Paul Langevin;college;public;44220;Couëron
0440012Z;Grand Air;lycee;public;44503;La-Baule
0440013A;-;college;public;44290;Guémené-Penfao
0440015C;Jacques Prévert;college;public;44410;Herbignac
0440016D;Anne De Bretagne;college;public;44800;Saint-Herblain
0440018F;Raymond Queneau;college;public;44270;Machecoul
0440021J;Georges Clémenceau;lycee;public;44042;Nantes
0440022K;Jules Verne;lycee;public;44042;Nantes
0440023L;Chantenay;college;public;44100;Nantes
0440024M;Gabriel Guist'Hau;lycee;public;44042;Nantes
0440025N;Talence;college;public;44300;Nantes
0440028S;La Colinière;college;public;44319;Nantes
0440029T;Livet;lycee;public;44042;Nantes
0440030U;Gaspard Monge;lycee;public;44322;Nantes
0440031V;Vial;lycee;public;44042;Nantes
0440032W;La Chauvinière;lprof;public;44322;Nantes
0440033X;François Arago;lprof;public;44322;Nantes
0440034Y;Michelet;lprof;public;44322;Nantes
0440035Z;Léonard De Vinci;lprof;public;44300;Nantes
0440036A;L.A. De Bougainville;lprof;public;44100;Nantes
0440045K;Victor Hugo;college;public;44042;Nantes
0440049P;Aristide Briand;college;public;44262;Nantes
0440055W;Jean Rostand;college;public;44700;Orvault
0440056X;Albert Chassagne;lprof;public;44560;Paimboeuf
0440061C;Jules Verne;college;public;44510;Le-Pouliguen
0440062D;Jean Perrin;lycee;public;44400;Rezé
0440063E;Louis-Jacques Goussier;lprof;public;44400;Rezé
0440064F;de Pont-Rousseau;college;public;44400;Rezé
0440065G;de la Petite Lande;college;public;44400;Rezé
0440066H;René-Guy Cadou;college;public;44250;Saint-Brévin-les-Pins
0440069L;Aristide Briand;lycee;public;44606;Saint-Nazaire
0440074S;François Blancho;lprof;public;44606;Saint-Nazaire
0440077V;Jacques Prévert;lycee;public;44260;Savenay
0440080Y;Jean Monnet;college;public;44120;Vertou
0440085D;Jean Brossaud;lprof;public;44606;Saint-Nazaire
0440086E;La Colinière;lycee;public;44319;Nantes
0440107C;d'Angreviers;college;prive;44190;Gorges
0440111G;Institut Prive Bel Air;lycee;prive;44008;Nantes
0440116M;Leloup Bouhier;lprof;public;44100;Nantes
0440119R;Sainte-Anne;lprof;prive;44600;Saint-Nazaire
