0180002E;Gérard Philipe;college;public;18700;Aubigny-sur-Nère
0180004G;George Sand;college;public;18520;Avord
0180005H;Alain Fournier;lycee;public;18016;Bourges
0180006J;Marguerite De Navarre;lycee;public;18016;Bourges
0180007K;Jacques Coeur;lycee;public;18026;Bourges
0180008L;Pierre-Emile Martin;lycee;public;18026;Bourges
0180009M;Jean De Berry;lprof;public;18000;Bourges
0180010N;Jean Mermoz;lprof;public;18028;Bourges
0180013S;Antoine Meillet;college;public;18370;Châteaumeillant
0180014T;François Le Champi;college;public;18170;Le-Châtelet
0180019Y;Béthune-Sully;college;public;18250;Henrichemont
0180020Z;Philibert Lautissier;college;public;18160;Lignières
0180023C;Julien Dumas;college;public;18350;Nérondes
0180024D;Jean Moulin;lycee;public;18206;Saint-Amand-Montrond
0180025E;Jean Guéhenno;lprof;public;18200;Saint-Amand-Montrond
0180026F;Jean Moulin;lprof;public;18206;Saint-Amand-Montrond
0180028H;Voltaire;college;public;18400;Saint-Florent-sur-Cher
0180031L;-;college;public;18300;Sancerre
0180033N;Marguerite Audoux;college;public;18600;Sancoins
0180035R;Edouard Vaillant;lycee;public;18100;Vierzon
0180036S;Henri Brisson;lycee;public;18100;Vierzon
0180037T;Edouard Vaillant;college;public;18100;Vierzon
0180041X;Alexandre Calder;lprof;public;18026;Bourges
0180042Y;Jacques Coeur;lprof;public;18026;Bourges
0180043Z;Henri Brisson;lprof;public;18100;Vierzon
0180049F;René Cassin;lprof;public;18108;Vierzon
0180561M;Sainte-Marie - Saint-Dominique;lycee;prive;18020;Bourges
0180567U;Sainte-Marie;college;prive;18350;Nérondes
0180568V;Saint-Jean-Baptiste De La Salle;college;prive;18000;Bourges
0180570X;Notre-Dame;college;prive;18100;Vierzon
0180571Y;Saint-Jean-Baptiste De La Salle;lycee;prive;18027;Bourges
0180572Z;Saint-Joseph;lprof;prive;18100;Vierzon
0180586P;Irène Joliot-Curie;college;public;18500;Mehun-sur-Yèvre
0180591V;Antoine De Saint-Exupéry;college;public;18000;Bourges
0180592W;Albert Camus;college;public;18100;Vierzon
0180593X;Victor Hugo;college;public;18000;Bourges
0180643B;Louis Armand;college;public;18230;Saint-Doulchard
0180644C;Fernand Léger;college;public;18100;Vierzon
0180646E;Jean Valette;college;public;18200;Saint-Amand-Montrond
0180673J;Jules Verne;college;public;18000;Bourges
0180710Z;Claude Debussy;college;public;18150;La-Guerche-sur-l'Aubois
0180721L;Emile Littré;college;public;18000;Bourges
0180732Y;Jean Rostand;college;public;18390;Saint-Germain-du-Puy
0180736C;Le Colombier;college;public;18130;Dun-sur-Auron
0180745M;Roger-Martin Du Gard;college;public;18140;Sancergues
0180766K;Grand Meaulnes;college;public;18000;Bourges
0180769N;Jean Moulin;college;public;18200;Saint-Amand-Montrond
0180777X;Jean Renoir;college;public;18000;Bourges
0180796T;Sainte-Marie - Saint-Dominique;college;prive;18000;Bourges
0180823X;de Vauvert;lprof;public;18000;Bourges
0280001Z;Jules Ferry;college;public;28700;Auneau
