0030001K;Jean-Baptiste Desfilhes;college;public;03330;Bellenaves
0030002L;Jean Rostand;college;public;03700;Bellerive-sur-Allier
0030004N;Achille Allier;college;public;03160;Bourbon-l'Archambault
0030005P;François Péron;college;public;03350;Cérilly
0030009U;Emile Guillaumin;college;public;03430;Cosne-d'Allier
0030010V;Maurice Constantin-Weyer;college;public;03300;Cusset
0030013Y;Louis Pergaud;college;public;03290;Dompierre-sur-Besbre
0030014Z;Victor Hugo;college;public;03130;Le-Donjon
0030015A;Ferdinand Dubreuil;college;public;03170;Doyet
0030017C;Joseph Hennequin;college;public;03800;Gannat
0030018D;George Sand;college;public;03380;Huriel
0030019E;Les Chenevières;college;public;03220;Jaligny-sur-Besbre
0030021G;André Boutry;college;public;03320;Lurcy-Lévis
0030022H;de la Combraille;college;public;03420;Marcillat-en-Combraille
0030023J;Jules Verne;college;public;03250;Le-Mayet-de-Montagne
0030030S;Jean Zay;college;public;03100;Montluçon
0030035X;Jeanne Cluzel;college;public;03390;Montmarault
0030039B;Charles Péguy;college;public;03000;Moulins
0030042E;François Rabelais;college;public;03310;Néris-les-Bains
0030043F;Jean De La Fontaine;college;public;03260;Saint-Germain-des-Fossés
0030046J;Charlotte Delbo;college;public;03240;Tronget
0030047K;Alain Fournier;college;public;03190;Vallon-en-Sully
0030048L;Antoine De Saint-Exupéry;college;public;03150;Varennes-sur-Allier
0030049M;des Célestins;college;public;03200;Vichy
0030050N;Jules Ferry;college;public;03200;Vichy
0030062B;Anne De Beaujeu;college;public;03000;Moulins
0030070K;Saint-Dominique;college;prive;03200;Vichy
0030081X;Saint-Benoît;college;prive;03000;Moulins
0030091H;Jean-Jacques Soulier;college;public;03100;Montluçon
0030092J;Lucien Colon;college;public;03120;Lapalisse
0030103W;Saint-Joseph;college;prive;03250;Le-Mayet-de-Montagne
0030104X;Notre-Dame des Victoires;college;prive;03500;Saint-Pourçain-sur-Sioule
0030119N;Jules Verne;college;public;03100;Montluçon
0030150X;Michelet;ecole;public;03500;Saint-Pourçain-sur-Sioule
0030151Y;Marcelin Berthelot;ecole;public;03500;Saint-Pourçain-sur-Sioule
0030152Z;-;ecole;public;03290;Saint-Pourçain-sur-Besbre
0030154B;-;ecole;public;03110;Saint-Pont
0030156D;-;ecole;public;03160;Saint-Plaisir
0030158F;-;ecole;public;03110;Saint-Rémy-en-Rollat
0030165N;-;ecole;public;03380;Saint-Martinien
0030168S;-;ecole;public;03210;Saint-Menoux
0030170U;-;ecole;public;03150;Saint-Loup
0030172W;-;ecole;public;03160;Saint-Léopardin-d'Augy
0030174Y;-;ecole;public;03220;Saint-Léon
0030175Z;-;ecole;public;03130;Saint-Léger-sur-Vouzance
0030178C;-;ecole;public;03440;Saint-Hilaire
0030180E;-;ecole;public;03140;Saint-Germain-de-Salles
0030182G;des Aures;ecole;public;03260;Saint-Germain-des-Fossés
0030183H;Charles-Louis Philippe;ecole;public;03260;Saint-Germain-des-Fossés
0030184J;-;ecole;public;03150;Saint-Gérand-le-Puy
0030187M;-;ecole;public;03340;Saint-Gérand-de-Vaux
0030191S;-;ecole;public;03300;Saint-Etienne-de-Vicq
0030192T;Daniel Renault;ecole;public;03250;Saint-Nicolas-des-Biefs
0030198Z;Nicolas Larbaud - Marie Curie;ecole;public;03270;Saint-Yorre
0030201C;-;ecole;public;03470;Saligny-sur-Roudon
0030203E;-;ecole;public;03150;Sanssat
0030204F;-;ecole;public;03500;Saulcet
0030208K;-;ecole;public;03110;Serbannes
0030211N;-;ecole;public;03260;Seuillet
0030212P;-;ecole;public;03220;Sorbier
0030213R;Commandant J.-Y. Cousteau;ecole;public;03210;Souvigny
0030218W;-;ecole;public;03410;Teillet-Argenty
