0120002M;Voltaire;college;public;12700;Capdenac-Gare
0120004P;Jean Jaurès;college;public;12110;Cransac
0120011X;-;college;public;12330;Marcillac-Vallon
0120016C;-;college;public;12600;Mur-de-Barrez
0120017D;Jean Boudou;college;public;12800;Naucelle
0120018E;Jean Amans;college;public;12290;Pont-de-Salars
0120019F;Célestin Sourèzes;college;public;12170;Réquista
0120020G;-;college;public;12240;Rieupeyroux
0120021H;-;college;public;12390;Rignac
0120028R;Denys Puech;college;public;12130;Saint-Geniez-d'Olt
0120029S;Jean D'Alembert;college;public;12150;Sévérac-le-Château
0120032V;Albert Camus;college;public;12160;Baraqueville
0120055V;Dominique Savio;college;prive;12240;Rieupeyroux
0120062C;Saint-Géraud;college;prive;12220;Montbazens
0120064E;Saint-Pierre;college;prive;12600;Mur-de-Barrez
0120067H;Sainte-Marie;college;prive;12290;Pont-de-Salars
0120068J;Saint-Louis;college;prive;12170;Réquista
0120070L;Jeanne D'Arc;college;prive;12390;Rignac
0120075S;Sainte-Marie;college;prive;12130;Saint-Geniez-d'Olt
0120077U;des Monts et Lacs;college;prive;12410;Salles-Curan
0120078V;Sacré-Coeur;college;prive;12150;Sévérac-le-Château
0120080X;Notre-Dame;college;prive;12160;Baraqueville
0120081Y;Saint-Michel;college;prive;12370;Belmont-sur-Rance
0120082Z;Saint-Louis;college;prive;12700;Capdenac-Gare
0120084B;Sainte-Marie;college;prive;12120;Cassagnes-Bégonhès
0120088F;Saint-Georges;college;prive;12140;Entraygues-sur-Truyère
0120090H;Saint-Dominique;college;prive;12270;La-Fouillade
0120091J;Saint-Matthieu;college;prive;12210;Laguiole
0120092K;Saint-Joseph;college;prive;12330;Marcillac-Vallon
0120101V;Joseph Fabre;college;public;12000;Rodez
0120123U;La Pradelie;ecole;public;12630;Agen-d'Aveyron
0120125W;-;ecole;public;12220;Les-Albres
0120126X;-;ecole;public;12300;Almont-les-Junies
0120132D;La Capelle Farcel;ecole;public;12430;Alrance
0120133E;-;ecole;public;12260;Ambeyrac
