0141816Y;Jacques Monod;college;public;14000;Caen
0141160K;Saint Joseph;college;prive;14000;Caen
0140025B;Hastings;college;public;14000;Caen
0141212S;Sacre Coeur;college;prive;14000;Caen
0141810S;Saint Pierre;college;prive;14000;Caen
0141253L;Albert Jacquard;college;public;14000;Caen
0141554N;Dunois;college;public;14000;Caen
0140015R;Pasteur;college;public;14000;Caen
0140028E;René Lemière;college;public;14010;Caen
0141313B;Henri Brunet;college;public;14017;Caen
0140026C;Claude Monet;college;public;14020;Caen
0141268C;Guillaume De Normandie;college;public;14020;Caen
0141553M;Marcel Pagnol;college;public;14062;Caen
0141163N;Saint Paul;college;prive;14066;Caen
0141596J;Jean Moulin;college;public;14066;Caen
0141159J;Institut Saint Pierre;college;prive;14067;Caen
0141597K;Fernand Lechanteur;college;public;14070;Caen
0140024A;Villey Desmeserets;college;public;14089;Caen
0141219Z;St J.b De La Salle;college;prive;14100;Lisieux
0141861X;Institution Fremont;college;prive;14100;Lisieux
0141862Y;Notre Dame;college;prive;14100;Lisieux
0141315D;Pierre Simon De Laplace;college;public;14104;Lisieux
0141135H;Michelet;college;public;14107;Lisieux
0141766U;Marcel Gambier;college;public;14107;Lisieux
0141258S;Dumont D'urville;college;public;14110;Condé-Sur-Noireau
0141214U;Sacre Coeur;college;prive;14110;Condé-Sur-Noireau
0142271T;Léopold Sédar Senghor;college;public;14123;Ifs
0141256P;Guy Liard;college;public;14125;Mondeville
0141225F;Sacre Coeur;college;prive;14130;Pont-L'évêque
0140075F;Gustave Flaubert;college;public;14130;Pont-L'évêque
0140067X;Fernand Léger;college;public;14140;Livarot
0141271F;Jean Monnet;college;public;14150;Ouistreham
0141270E;Paul Eluard;college;public;14160;Dives-Sur-Mer
0141272G;Jacques Prévert;college;public;14170;Saint-Pierre-Sur-Dives
0141226G;Sainte Thérèse;college;prive;14170;Saint-Pierre-Sur-Dives
0141136J;Pierre Varignon;college;public;14200;Hérouville-Saint-Clair
0141363F;Pierre Daniel Huet;college;public;14200;Hérouville-Saint-Clair
0141255N;François De Boisrobert;college;public;14200;Hérouville-Saint-Clair
0141166S;Saint-Michel;college;prive;14201;Hérouville-Saint-Clair
0140051E;Paul Verlaine;college;public;14210;Evrecy
0141228J;Notre Dame;college;prive;14220;Thury-Harcourt
0141641H;Roger Bellair;college;public;14220;Thury-Harcourt
0141257R;Du Val D'aure;college;public;14230;Isigny-Sur-Mer
