0160001P;-;college;public;16140;Aigre
0160005U;Jules Michelet;college;public;16000;Angoulême
0160012B;Alfred De Vigny;college;public;16250;Blanzac-Porcheresse
0160015E;-;college;public;16210;Chalais
0160016F;de l'Argentor;college;public;16350;Champagne-Mouton
0160024P;-;college;public;16400;La-Couronne
0160027T;Jean Lartaut;college;public;16200;Jarnac
0160029V;Alfred Renoleau;college;public;16230;Mansle
0160030W;-;college;public;16220;Montbron
0160031X;-;college;public;16310;Montemboeuf
0160032Y;Antoine Delafont;college;public;16190;Montmoreau-Saint-Cybard
0160034A;Claudie Haigneré;college;public;16170;Rouillac
0160039F;du Val de Charente;college;public;16700;Ruffec
0160040G;Eugène Delacroix;college;public;16330;Saint-Amant-de-Boixe
0160042J;Font-Belle;college;public;16130;Segonzac
0160043K;Henri Martin;college;public;16320;Villebois-Lavalette
0160050T;Jules Verne;college;public;16000;Angoulême
0160061E;Sainte-Marthe - Chavagnes;college;prive;16000;Angoulême
0160073T;Saint-Gauthier;college;prive;16500;Confolens
0160075V;Jean XXIII;college;prive;16200;Jarnac
0160076W;de l'Enfant Jésus;college;prive;16110;La-Rochefoucauld
0160077X;Sacré-Coeur;college;prive;16700;Ruffec
0160094R;Norbert Casteret;college;public;16600;Ruelle-sur-Touvre
0160100X;Romain Rolland;college;public;16800;Soyaux
0160106D;René Cassin;college;public;16160;Gond-Pontouvre
0160113L;La Grande Garenne;college;public;16000;Angoulême
0160115N;Albert Micheneau;college;public;16240;Villefagnan
0160116P;Elisée Mousnier;college;public;16100;Cognac
0160117R;Félix Gaillard;college;public;16100;Cognac
0160120U;Jean De La Quintinie;college;public;16150;Chabanais
0160123X;René Defarge;ecole;public;16000;Angoulême
0160124Y;P. Cézanne - J. Renoir;ecole;public;16000;Angoulême
0160125Z;Paul Bert;ecole;public;16000;Angoulême
0160127B;Jules Ferry;ecole;public;16000;Angoulême
0160130E;Ferdinand Buisson;ecole;public;16000;Angoulême
0160134J;Docteur Emile Roux;ecole;public;16000;Angoulême
0160135K;George Sand - La Grand Font;ecole;public;16000;Angoulême
0160137M;Mario Roustan;ecole;public;16000;Angoulême
0160138N;Victor Hugo;ecole;public;16000;Angoulême
0160139P;Marie Curie;ecole;public;16000;Angoulême
0160144V;Victor Duruy;ecole;public;16000;Angoulême
0160164S;-;ecole;public;16210;Bardenac
0160168W;-;ecole;public;16390;Laprade
0160175D;-;ecole;public;16390;Bonnes
0160178G;-;ecole;public;16210;Saint-Romain
0160179H;-;ecole;public;16210;Yviers
0160187S;-;ecole;public;16390;Palluaud
0160192X;-;ecole;public;16190;Saint-Martial
0160194Z;-;ecole;public;16190;Juignac
0160195A;-;ecole;public;16390;Montignac-le-Coq
0160196B;-;ecole;public;16190;Nonac
0160197C;-;ecole;public;16390;Pillac
0160199E;-;ecole;public;16190;Saint-Amant
0160201G;-;ecole;public;16190;Montmoreau-Saint-Cybard
0160208P;-;ecole;public;16320;Chavenat
0160210S;-;ecole;public;16320;Magnac-Lavalette-Villars
0160211T;-;ecole;public;16320;Rougnac
0160213V;-;ecole;public;16380;Charras
0160214W;-;ecole;public;16320;Charmant
0160216Y;-;ecole;public;16410;Dignac
0160217Z;-;ecole;public;16410;Fouquebrune
0160218A;-;ecole;public;16320;Gardes-le-Pontaroux
0160220C;-;ecole;public;16320;Ronsenac
0160221D;-;ecole;public;16410;Sers
0160222E;-;ecole;public;16410;Torsac
0160223F;-;ecole;public;16410;Vouzan
0160228L;-;ecole;public;16430;Vindelle
0160229M;Célestin Freinet;ecole;public;16800;Soyaux
0160230N;Edouard Herriot;ecole;public;16800;Soyaux
0160232R;Alphonse Daudet;ecole;public;16730;Fléac
0160234T;du Pontouvre;ecole;public;16160;Gond-Pontouvre
0160235U;Alfred De Vigny;ecole;public;16440;Nersac
0160239Y;Louis Pasteur;ecole;public;16470;Saint-Michel
0160241A;Jean Charcot;ecole;public;16160;Gond-Pontouvre
0160245E;Claude Roy;ecole;public;16710;Saint-Yrieix-sur-Charente
0160248H;Jean Moulin;ecole;public;16800;Soyaux
0160249J;Jean Monnet;ecole;public;16800;Soyaux
0160250K;Pierre et Marie Curie;ecole;public;16160;Gond-Pontouvre
0160265B;Les Frères Chabasse;ecole;public;16410;Bouëx
0160267D;-;ecole;public;16430;Champniers
0160268E;Marcel Radeuil;ecole;public;16430;Champniers
0160269F;-;ecole;public;16600;Mornac
0160271H;-;ecole;public;16600;Touvre
0160273K;Jean Moulin;ecole;public;16600;Ruelle-sur-Touvre
0160274L;du Puy de Nelle;ecole;public;16430;Champniers
0160277P;Corset - Carpentier;ecole;public;16340;L'Isle-d'Espagnac
0160284X;Jean Moulin - Chaumontet;ecole;public;16340;L'Isle-d'Espagnac
0160285Y;Marie Curie;ecole;public;16600;Magnac-sur-Touvre
0160286Z;Robert Doisneau;ecole;public;16600;Ruelle-sur-Touvre
0160287A;Alphonse Daudet;ecole;public;16600;Ruelle-sur-Touvre
0160296K;-;ecole;public;16380;Feuillade
0160297L;-;ecole;public;16380;Grassac
0160298M;-;ecole;public;16380;Marthon
