0170002K;Arlette Guirado;college;public;17520;Archiac
0170004M;-;college;public;17770;Burie
0170005N;Aliénor D'Aquitaine;college;public;17480;Le-Château-d'Oléron
0170007R;Jean Monnet;college;public;17170;Courçon
0170008S;Les Vieilles Vignes;college;public;17120;Cozes
0170009T;Jules Ferry;college;public;17260;Gémozac
0170010U;Françoise Dolto;college;public;17220;La-Jarrie
0170011V;Léopold Dussaigne;college;public;17500;Jonzac
0170012W;La Trézence;college;public;17330;Loulay
0170016A;Didier Daurat;college;public;17150;Mirambeau
0170035W;Beauregard;college;public;17000;La-Rochelle
0170037Y;-;ecole;public;17470;Loiré-sur-Nie
0170039A;-;ecole;public;17510;Néré
0170041C;-;ecole;public;17470;Nuaillé-sur-Boutonne
0170047J;Jean Monnet;college;public;17620;Saint-Agnant
0170048K;Bernard Roussillon;college;public;17360;Saint-Aigulin
0170049L;Maurice Chastang;college;public;17240;Saint-Genis-de-Saintonge
0170050M;Raymond Bouyer;college;public;17770;Saint-Hilaire-de-Villefranche
0170055T;-;college;public;17250;Saint-Porchaire
0170056U;Robert Cellerier;college;public;17350;Saint-Savinien
0170059X;Agrippa d'Aubigné;college;public;17100;Saintes
0170063B;Edgar Quinet;college;public;17100;Saintes
0170066E;-;ecole;public;17470;Saint-Mandé-sur-Brédoire
0170068G;-;ecole;public;17400;Saint-Pierre-de-Juillers
0170071K;Hélène De Fonsèque;college;public;17700;Surgères
0170072L;Joliot-Curie;college;public;17430;Tonnay-Charente
0170076R;La Fontaine;college;public;17210;Montlieu-la-Garde
0170077S;Pierre Mendès-France;college;public;17000;La-Rochelle
0170081W;La Fayette;college;public;17300;Rochefort
0170082X;Marcel Pagnol;college;public;17380;Tonnay-Boutonne
0170088D;Samuel De Missy;college;public;17000;La-Rochelle
0170099R;Fénelon;college;prive;17000;La-Rochelle
0170102U;Jeanne D'Arc;college;prive;17100;Saintes
0170110C;Saint-Sacrement;college;prive;17290;Aigrefeuille-d'Aunis
0170111D;Notre-Dame de Nazareth;college;prive;17120;Cozes
0170112E;Marie Eustelle;college;prive;17230;Marans
0170113F;Sainte-Marie de la Providence;college;prive;17300;Rochefort
0170118L;Sainte-Sophie;college;prive;17400;Saint-Jean-d'Angély
0170120N;Jeanne D'Arc;college;prive;17700;Surgères
0170142M;Albert Camus;college;public;17000;La-Rochelle
0170144P;René Caillié;college;public;17100;Saintes
0170150W;Léon Gambetta;ecole;public;17400;Saint-Jean-d'Angély
0170151X;Joseph Lair;ecole;public;17400;Saint-Jean-d'Angély
0170153Z;-;ecole;public;17400;Antezant-la-Chapelle
0170155B;-;ecole;public;17400;Asnières-la-Giraud
0170156C;-;ecole;public;17400;La-Benâte
0170157D;-;ecole;public;17400;Bignay
0170159F;-;ecole;public;17400;Les-Eglises-d'Argenteuil
0170161H;-;ecole;public;17400;Fontenet
0170165M;-;ecole;public;17400;Saint-Denis-du-Pin
0170166N;-;ecole;public;17400;Poursay-Garnaud
0170167P;-;ecole;public;17400;Saint-Julien-de-l'Escap
0170170T;-;ecole;public;17400;Varaize
0170172V;-;ecole;public;17400;La-Vergne
0170175Y;-;ecole;public;17490;Beauvais-sur-Matha
0170176Z;-;ecole;public;17610;Chérac
0170180D;-;ecole;public;17260;Villars-en-Pons
0170184H;-;ecole;public;17160;Prignac
0170187L;-;ecole;public;17160;Sonnac
0170191R;-;ecole;public;17160;Les-Touches-de-Périgny
0170192S;-;ecole;public;17380;Tonnay-Boutonne
0170196W;-;ecole;public;17380;Puyrolland
0170197X;-;ecole;public;17380;Saint-Loup
0170200A;-;ecole;public;17330;Loulay
0170201B;-;ecole;public;17330;Bernay-Saint-Martin
0170206G;-;ecole;public;17330;Courant
0170212N;-;ecole;public;17330;Lozay
0170215S;-;ecole;public;17330;Saint-Félix
0170220X;-;ecole;public;17330;Villeneuve-la-Comtesse
0170224B;-;ecole;public;17470;Aulnay
0170229G;Marcel Proust;ecole;public;17470;Dampierre-sur-Boutonne
0170230H;-;ecole;public;17510;Fontaine-Chalendray
0170233L;François Rabelais;ecole;public;17350;Taillebourg
0170235N;Jean Lartigue;ecole;public;17770;Saint-Hilaire-de-Villefranche
0170237R;-;ecole;public;17770;Aujac
0170239T;des Hilairets;ecole;public;17770;Aumagne
0170244Y;Yves Bray;ecole;public;17770;Brizambourg
0170254J;-;ecole;public;17380;Archingeay
0170255K;Jules Ferry;ecole;public;17430;Bords
0170257M;-;ecole;public;17430;Champdolent
0170261S;-;ecole;public;17380;Les-Nouillers
0170263U;-;ecole;public;17160;Matha
0170265W;-;ecole;public;17160;Ballans
0170271C;-;ecole;public;17160;La-Brousse
0170279L;-;ecole;public;17490;Macqueville
0170282P;-;ecole;public;17160;Mons
0170283R;Emile Combes;ecole;public;17260;Gémozac
0170286U;-;ecole;public;17460;Berneuil
0170290Y;-;ecole;public;17120;Meursac
0170293B;-;ecole;public;17460;Rétaud
0170296E;-;ecole;public;17260;Saint-Simon-de-Pellouaille
0170306R;-;ecole;public;17770;Migron
0170308T;-;ecole;public;17770;Saint-Bris-des-Bois
0170310V;-;ecole;public;17770;Saint-Césaire
0170314Z;Agrippa d'Aubigné;ecole;public;17800;Pons
0170316B;-;ecole;public;17800;Avy
0170318D;-;ecole;public;17800;Biron
0170319E;-;ecole;public;17800;Bougneau
0170321G;-;ecole;public;17800;Coulonges
0170322H;-;ecole;public;17800;Echebrune
0170324K;-;ecole;public;17800;Marignac
0170326M;-;ecole;public;17800;Montils
0170328P;-;ecole;public;17800;Pérignac
0170337Z;Gustave Courbet;ecole;public;17100;Bussac-sur-Charente
0170340C;Pierre De Ronsard;ecole;public;17610;Chaniers
0170343F;-;ecole;public;17100;La-Chapelle-des-Pots
0170344G;-;ecole;public;17100;Le-Douhet
0170345H;-;ecole;public;17100;Fontcouverte
0170347K;-;ecole;public;17100;Saint-Vaize
0170348L;-;ecole;public;17100;Vénérand
