0180002E;Gérard Philipe;college;public;18700;Aubigny-sur-Nère
0180004G;George Sand;college;public;18520;Avord
0180013S;Antoine Meillet;college;public;18370;Châteaumeillant
0180014T;François Le Champi;college;public;18170;Le-Châtelet
0180019Y;Béthune-Sully;college;public;18250;Henrichemont
0180020Z;Philibert Lautissier;college;public;18160;Lignières
0180023C;Julien Dumas;college;public;18350;Nérondes
0180028H;Voltaire;college;public;18400;Saint-Florent-sur-Cher
0180031L;-;college;public;18300;Sancerre
0180033N;Marguerite Audoux;college;public;18600;Sancoins
0180037T;Edouard Vaillant;college;public;18100;Vierzon
0180057P;-;ecole;public;18200;Arpheuilles
0180058R;-;ecole;public;18600;Augy-sur-Aubois
0180059S;-;ecole;public;18300;Bannay
0180061U;-;ecole;public;18210;Bannegon
0180064X;-;ecole;public;18210;Bessais-le-Fromental
0180066Z;-;ecole;public;18240;Boulleret
0180073G;-;ecole;public;18370;Châteaumeillant
0180083T;-;ecole;public;18210;Coust
0180085V;-;ecole;public;18300;Crézancy-en-Sancerre
0180089Z;-;ecole;public;18300;Feux
0180100L;-;ecole;public;18600;Givardon
0180101M;-;ecole;public;18600;Grossouvre
0180103P;-;ecole;public;18300;Jalognes
0180104R;Camille Boistard;ecole;public;18240;Léré
0180107U;-;ecole;public;18300;Menetou-Râtel
0180109W;-;ecole;public;18300;Ménétréol-sous-Sancerre
0180111Y;-;ecole;public;18600;Mornay-sur-Allier
0180112Z;-;ecole;public;18160;Lignières
0180113A;-;ecole;public;18600;Neuilly-en-Dun
0180114B;-;ecole;public;18600;Neuvy-le-Barrois
0180118F;-;ecole;public;18270;Reigny
0180123L;-;ecole;public;18240;Sainte-Gemme-en-Sancerrois
0180127R;-;ecole;public;18190;Saint-Loup-des-Chaumes
0180129T;Les Vivons;ecole;public;18210;Saint-Pierre-les-Etieux
0180130U;-;ecole;public;18370;Saint-Priest-la-Marche
0180131V;-;ecole;public;18300;Saint-Satur
0180133X;-;ecole;public;18370;Saint-Saturnin
0180134Y;-;ecole;public;18300;Sancerre
0180138C;Hugues Lapaire;ecole;public;18600;Sancoins
0180139D;-;ecole;public;18240;Santranges
0180140E;-;ecole;public;18240;Savigny-en-Sancerre
0180143H;-;ecole;public;18300;Sury-en-Vaux
0180147M;-;ecole;public;18300;Thauvenay
0180148N;-;ecole;public;18160;Touchay
0180149P;-;ecole;public;18190;Uzay-le-Venon
0180152T;-;ecole;public;18300;Veaugues
0180154V;-;ecole;public;18190;Venesmes
0180155W;-;ecole;public;18300;Verdigny
0180159A;-;ecole;public;18300;Vinon
0180160B;-;ecole;public;18110;Allogny
0180162D;-;ecole;public;18500;Allouis
0180163E;-;ecole;public;18340;Annoix
0180164F;-;ecole;public;18340;Arçay
0180165G;-;ecole;public;18410;Argent-sur-Sauldre
0180167J;-;ecole;public;18500;Berry-Bouy
0180168K;-;ecole;public;18410;Blancafort
0180170M;-;ecole;public;18410;Brinon-sur-Sauldre
0180173R;-;ecole;public;18130;Chalivoy-Milon
