0280001Z;Jules Ferry;college;public;28700;Auneau
0280002A;Joachim Du Bellay;college;public;28330;Authon-du-Perche
0280005D;Maurice De Vlaminck;college;public;28270;Brézolles
0280006E;Florimond Robertet;college;public;28160;Brou
0280016R;La Pajotterie;college;public;28170;Châteauneuf-en-Thymerais
0280018T;Louis Pergaud;college;public;28190;Courville-sur-Eure
0280024Z;Marcel Pagnol;college;public;28500;Vernouillet
0280033J;Jean Racine;college;public;28130;Maintenon
0280034K;Jean Macé;college;public;28300;Mainvilliers
0280035L;Jean Moulin;college;public;28210;Nogent-le-Roi
0280040S;Gaston Couté;college;public;28150;Voves
0280060N;de la République;ecole;public;28200;Châteaudun
0280061P;Edouard Caniaux;ecole;public;28200;Châteaudun
0280063S;Empereurs;ecole;public;28200;Châteaudun
0280064T;Louis Pergaud;ecole;public;28200;Châteaudun
0280065U;Beauvoir;ecole;public;28200;Châteaudun
0280067W;Louis Pasteur;ecole;public;28200;Châteaudun
0280070Z;Jean Macé 2;ecole;public;28200;Châteaudun
0280071A;La Varenne Ferron;ecole;public;28200;La-Chapelle-du-Noyer
0280073C;La Fringale;ecole;public;28200;La-Chapelle-du-Noyer
0280074D;-;ecole;public;28200;Civry
0280075E;-;ecole;public;28200;Conie-Molitard
0280076F;-;ecole;public;28200;Donnemain-Saint-Mamès
0280078H;-;ecole;public;28200;Jallans
0280081L;-;ecole;public;28200;Logron
0280083N;-;ecole;public;28200;Marboué
0280085R;-;ecole;public;28200;Moléans
0280086S;-;ecole;public;28200;Ozoir-le-Breuil
0280090W;Robert Desnos;ecole;public;28200;Saint-Denis-les-Ponts
0280091X;-;ecole;public;28200;Thiville
0280092Y;-;ecole;public;28200;Villampuy
0280103K;Antoine Godeau;ecole;public;28100;Dreux
0280104L;Saint-Martin;ecole;public;28100;Dreux
0280105M;Ferdinand Buisson;ecole;public;28100;Dreux
0280106N;Condorcet;ecole;public;28100;Dreux
0280107P;Paul Bert;ecole;public;28100;Dreux
0280109S;Jules Michelet 1;ecole;public;28100;Dreux
0280110T;Jules Michelet 2;ecole;public;28100;Dreux
0280112V;Antoine De Saint-Exupéry;ecole;public;28100;Dreux
0280113W;Marcelin Berthelot;ecole;public;28100;Dreux
0280116Z;Léon Gambetta;ecole;public;28100;Dreux
0280119C;Jean Zay;ecole;public;28100;Dreux
0280120D;Maurice Hurel;ecole;public;28500;Aunay-sous-Crécy
0280124H;-;ecole;public;28500;Cherisy
0280127L;-;ecole;public;28500;Garnay
0280132S;-;ecole;public;28500;Marville-Moutiers-Brûlé
0280134U;de Marsauceux;ecole;public;28500;Mézières-en-Drouais
0280136W;-;ecole;public;28500;Ouerre
0280137X;Michel Sicot;ecole;public;28500;Sainte-Gemme-Moronval
0280138Y;Paul-Emile Victor;ecole;public;28500;Saulnières
0280140A;-;ecole;public;28500;Tréon
0280145F;Victor Hugo;ecole;public;28500;Vernouillet
0280146G;Louis Pergaud;ecole;public;28500;Vernouillet
0280148J;-;ecole;public;28500;Vert-en-Drouais
0280150L;Jean Moulin 1;ecole;public;28150;Voves
0280151M;George Sand 2;ecole;public;28150;Voves
0280152N;-;ecole;public;28150;Allonnes
0280155S;-;ecole;public;28150;Boisville-la-Saint-Père
0280156T;-;ecole;public;28150;Boncé
0280162Z;-;ecole;public;28150;Ouarville
0280166D;-;ecole;public;28360;Theuville
0280171J;-;ecole;public;28150;Ymonville
0280174M;-;ecole;public;28480;Chassant
0280178S;-;ecole;public;28400;Coudreceau
0280181V;-;ecole;public;28160;Frazé
0280183X;-;ecole;public;28480;Frétigny
0280184Y;-;ecole;public;28480;Happonvilliers
0280186A;-;ecole;public;28120;Montigny-le-Chartif
0280189D;-;ecole;public;28120;Nonvilliers-Grandhoux
0280191F;Maurice Carême;ecole;public;28480;Saint-Denis-d'Authou
0280196L;-;ecole;public;28140;Bazoches-en-Dunois
0280203U;-;ecole;public;28140;Guillonville
0280206X;-;ecole;public;28140;Nottonville
0280210B;-;ecole;public;28140;Terminiers
0280215G;Jacques-Yves Cousteau;ecole;public;28250;Senonches
0280220M;-;ecole;public;28250;Digny
0280224S;-;ecole;public;28250;Le-Mesnil-Thomas
0280226U;La Puisaye;ecole;public;28250;La-Puisaye
0280230Y;Jacques-Yves Cousteau;ecole;public;28300;Saint-Prest
0280231Z;-;ecole;public;28300;Saint-Aubin-des-Bois
0280234C;Emile Zola;ecole;public;28300;Mainvilliers
0280235D;Jean Zay;ecole;public;28300;Mainvilliers
0280237F;Jean Zay;ecole;public;28110;Lucé
0280238G;Jules Ferry;ecole;public;28110;Lucé
0280239H;Jean Jaurès;ecole;public;28110;Lucé
0280240J;Jules Vallain;ecole;public;28300;Lèves
0280244N;-;ecole;public;28300;Gasville-Oisème
0280246R;Daniel Alix;ecole;public;28300;Coltainville
0280247S;Clevilliers - Challet;ecole;public;28300;Clévilliers
0280249U;La Vallée;ecole;public;28300;Cintray
0280250V;La Mihoue;ecole;public;28300;Champhol
0280253Y;-;ecole;public;28300;Berchères-Saint-Germain
0280255A;-;ecole;public;28300;Bailleau-l'Evêque
0280260F;de Rechèvres;ecole;public;28000;Chartres
0280268P;Gérard Philipe;ecole;public;28000;Chartres
0280274W;-;ecole;public;28630;Ver-lès-Chartres
0280275X;Germaine Ferrand;ecole;public;28630;Thivars
0280277Z;La Vallée;ecole;public;28630;Sours
0280280C;-;ecole;public;28630;Nogent-le-Phaye
0280282E;-;ecole;public;28630;Morancez
0280283F;-;ecole;public;28630;Mignières
0280284G;André Juster;ecole;public;28600;Luisant
0280285H;Charlemagne;ecole;public;28600;Luisant
0280288L;-;ecole;public;28630;Fontenay-sur-Eure
0280290N;-;ecole;public;28360;Dammarie
0280291P;Jules Verne;ecole;public;28630;Le-Coudray
0280295U;-;ecole;public;28630;Berchères-les-Pierres
0280296V;-;ecole;public;28630;Barjouville
0280298X;Jean Guéhenno;ecole;public;28000;Chartres
0280300Z;André-Marie Ampère;ecole;public;28000;Chartres
0280303C;Jules Ferry 2;ecole;public;28000;Chartres
0280304D;Jules Ferry 1;ecole;public;28000;Chartres
0280305E;Le Grand Jardin;ecole;public;28000;Chartres
0280306F;George Sand;ecole;public;28000;Chartres
0280308H;François Villon;ecole;public;28000;Chartres
0280309J;Maurice De Vlaminck;ecole;public;28000;Chartres
0280320W;-;ecole;public;28270;Bérou-la-Mulotière
0280323Z;-;ecole;public;28270;Crucey-Villages
0280327D;-;ecole;public;28270;Laons
0280332J;-;ecole;public;28270;Rueil-la-Gadelière
0280333K;Le Parc 1;ecole;public;28350;Saint-Lubin-des-Joncherets
0280334L;2;ecole;public;28350;Saint-Lubin-des-Joncherets
0280337P;Jean Goujon;ecole;public;28260;Anet
0280338R;Philibert Delorme;ecole;public;28260;Anet
0280340T;-;ecole;public;28570;Abondant
0280341U;-;ecole;public;28560;Berchères-sur-Vesgre
0280343W;-;ecole;public;28410;Broué
0280348B;-;ecole;public;28260;La-Chaussée-d'Ivry
0280350D;-;ecole;public;28410;Goussainville
0280351E;-;ecole;public;28260;Guainville
0280352F;-;ecole;public;28260;Le-Mesnil-Simon
0280354H;-;ecole;public;28260;Rouvres
0280357L;-;ecole;public;28260;Saussay
0280358M;-;ecole;public;28410;Serville
0280361R;Les Christophes;ecole;public;28520;Sorel-Moussel
0280362S;-;ecole;public;28330;Authon-du-Perche
0280365V;-;ecole;public;28330;La-Bazoche-Gouet
0280367X;-;ecole;public;28420;Beaumont-les-Autels
0280371B;-;ecole;public;28290;Chapelle-Royale
0280376G;-;ecole;public;28420;Luigny
0280379K;-;ecole;public;28330;Saint-Bomer
0280381M;-;ecole;public;28330;Soizé
0280382N;Maurice Fanon;ecole;public;28700;Auneau
0280383P;Emile Zola;ecole;public;28700;Auneau
0280386T;-;ecole;public;28700;Aunay-sous-Auneau
0280393A;-;ecole;public;28700;Denonville
0280394B;-;ecole;public;28700;Francourville
0280397E;Le Gué de Longroi;ecole;public;28700;Le-Gué-de-Longroi
0280398F;-;ecole;public;28700;Houville-la-Branche
