0310001H;Armand Latour;college;public;31160;Aspet
0310003K;Emile-Paul Vayssie;college;public;31420;Aurignac
0310005M;Jean Monnet;college;public;31110;Bagnères-de-Luchon
0310007P;du Pays de la Gesse;college;public;31350;Boulogne-sur-Gesse
0310008R;-;college;public;31480;Cadours
0310012V;du Plantaurel;college;public;31220;Cazères
0310015Y;Pierre et Marie Curie;college;public;31430;Le-Fousseret
0310019C;Léon Cazeneuve;college;public;31230;L'Isle-en-Dodon
0310021E;Georges Brassens;college;public;31380;Montastruc-la-Conseillère
0310022F;Stella Blandy;college;public;31310;Montesquieu-Volvestre
0310023G;Bertrand Laralde;college;public;31210;Montréjeau
0310025J;de la Côte de Bétance;college;public;31600;Muret
0310029N;Robert Roger;college;public;31370;Rieumes
0310031R;François Cazes;college;public;31440;Saint-Béat
0310035V;des Trois Vallées;college;public;31260;Salies-du-Salat
0310037X;Clémence Isaure;college;public;31024;Toulouse
0310083X;Didier Daurat;college;public;31800;Saint-Gaudens
0310084Y;Antonin Perbosc;college;public;31190;Auterive
0310085Z;Château-De-L'Hers;college;public;31500;Toulouse
0310086A;George Sand;college;public;31100;Toulouse
0310092G;Bellevue;college;public;31030;Toulouse
0310093H;Marcelin Berthelot;college;public;31078;Toulouse
0310160F;1;ecole;public;31000;Toulouse
0310161G;Pierre Dupont;ecole;public;31000;Toulouse
0310162H;2;ecole;public;31000;Toulouse
0310252F;-;ecole;public;31450;Ayguesvives
0310253G;-;ecole;public;31420;Alan
0310256K;-;ecole;public;31230;Anan
0310258M;-;ecole;public;31160;Arbas
0310268Y;-;ecole;public;31160;Aspet
0310271B;Victor Hugo;ecole;public;31140;Aucamville
0310275F;-;ecole;public;31320;Aureville
0310281M;Jacques Prévert;ecole;public;31420;Aurignac
0310287U;Michelet;ecole;public;31190;Auterive
0310290X;-;ecole;public;31320;Auzeville-Tolosane
0310291Y;-;ecole;public;31650;Auzielle
0310293A;Auguste Fourès;ecole;public;31290;Avignonet-Lauragais
0310296D;-;ecole;public;31380;Azas
0310302K;Gaston Bonheur;ecole;public;31130;Balma
0310303L;Marie Laurencin;ecole;public;31130;Balma
0310304M;Antoine De Saint-Exupéry;ecole;public;31130;Balma
0310305N;-;ecole;public;31510;Barbazan
0310309T;-;ecole;public;31380;Bazus
0310310U;-;ecole;public;31360;Beauchalot
0310313X;-;ecole;public;31870;Beaumont-sur-Lèze
0310314Y;-;ecole;public;31850;Beaupuy
0310317B;Les Chênes;ecole;public;31700;Beauzelle
0310318C;Le Petit Prince;ecole;public;31450;Belberaud
0310325K;-;ecole;public;31370;Bérat
0310334V;-;ecole;public;31350;Blajan
0310339A;-;ecole;public;31470;Bonrepos-sur-Aussonnelle
0310340B;-;ecole;public;31210;Bordes-de-Rivière
0310345G;-;ecole;public;31620;Bouloc
0310347J;-;ecole;public;31350;Boulogne-sur-Gesse
0310349L;-;ecole;public;31570;Bourg-Saint-Bernard
0310354S;-;ecole;public;31470;Bragayrac
0310355T;-;ecole;public;31490;Brax
0310356U;-;ecole;public;31530;Bretx
0310361Z;-;ecole;public;31330;Le-Burgaud
0310366E;-;ecole;public;31460;Le-Cabanial
0310368G;-;ecole;public;31480;Cadours
0310369H;-;ecole;public;31560;Caignac
0310375P;-;ecole;public;31410;Capens
0310378T;Pierre-Paul Riquet;ecole;public;31460;Caraman
0310379U;Le Lancon;ecole;public;31390;Carbonne
0310382X;-;ecole;public;31350;Cardeilhac
0310383Y;-;ecole;public;31420;Cassagnabère-Tournas
0310384Z;-;ecole;public;31260;Cassagne
0310386B;-;ecole;public;31260;Castagnède
0310387C;Danton Cazelles;ecole;public;31320;Castanet-Tolosan
0310388D;Damase Auba;ecole;public;31320;Castanet-Tolosan
0310389E;-;ecole;public;31160;Castelbiague
0310397N;-;ecole;public;31430;Castelnau-Picampeau
0310402U;-;ecole;public;31360;Castillon-de-Saint-Martory
0310404W;-;ecole;public;31190;Caujac
0310408A;-;ecole;public;31110;Cazeaux-de-Larboust
0310409B;2;ecole;public;31220;Cazères
0310410C;1;ecole;public;31220;Cazères
0310411D;de Paule;ecole;public;31620;Cépet
0310412E;-;ecole;public;31290;Cessales
0310418L;-;ecole;public;31350;Ciadoux
0310425U;Les Baccarets;ecole;public;31550;Cintegabelle
0310426V;de Picarrou;ecole;public;31550;Cintegabelle
0310427W;-;ecole;public;31210;Clarac
0310429Y;Jules Ferry 2;ecole;public;31770;Colomiers
0310430Z;Jules Ferry 1;ecole;public;31770;Colomiers
0310431A;Jean Macé;ecole;public;31770;Colomiers
0310432B;Hélène Boucher;ecole;public;31770;Colomiers
0310433C;du Pont Vieux;ecole;public;31700;Cornebarrieu
0310434D;Les Ambrits;ecole;public;31700;Cornebarrieu
0310435E;-;ecole;public;31450;Corronsac
0310440K;-;ecole;public;31480;Cox
0310441L;Léon Blum;ecole;public;31270;Cugnaux
0310442M;Jean Jaurès;ecole;public;31270;Cugnaux
0310444P;-;ecole;public;31210;Le-Cuing
0310445R;-;ecole;public;31700;Daux
0310446S;-;ecole;public;31450;Deyme
0310447T;-;ecole;public;31450;Donneville
0310448U;Maurice Petitcolin;ecole;public;31280;Drémil-Lafage
0310450W;Jean Dargassies;ecole;public;31600;Eaunes
0310452Y;-;ecole;public;31160;Encausse-les-Thermes
0310454A;Marcel Pagnol;ecole;public;31750;Escalquens
0310458E;-;ecole;public;31190;Esperce
0310460G;Le Plan;ecole;public;31160;Estadens
0310461H;-;ecole;public;31800;Estancarbon
0310467P;Clément Ader;ecole;public;31410;Le-Fauga
0310469S;Jean Monnet;ecole;public;31150;Fenouillet
0310470T;-;ecole;public;31260;Figarol
0310471U;-;ecole;public;31130;Flourens
0310472V;-;ecole;public;31290;Folcarde
0310473W;Le Trépade;ecole;public;31470;Fonsorbes
0310475Y;-;ecole;public;31470;Fontenilles
0310477A;-;ecole;public;31440;Fos
0310478B;Jean-Paul Laurens;ecole;public;31450;Fourquevaux
0310480D;-;ecole;public;31430;Le-Fousseret
0310482F;-;ecole;public;31420;Francon
0310493T;-;ecole;public;31150;Gagnac-sur-Garonne
0310496W;-;ecole;public;31550;Gaillac-Toulza
0310499Z;-;ecole;public;31480;Garac
0310500A;-;ecole;public;31290;Gardouch
0310501B;-;ecole;public;31620;Gargas
0310502C;-;ecole;public;31380;Garidech
0310505F;-;ecole;public;31590;Gauré
0310509K;-;ecole;public;31560;Gibel
0310514R;-;ecole;public;31210;Gourdan-Polignan
0310517U;-;ecole;public;31120;Goyrans
0310518V;-;ecole;public;31380;Gragnague
0310519W;-;ecole;public;31430;Gratens
0310523A;Jean-Claude Gouze;ecole;public;31330;Grenade
0310524B;La Bastide;ecole;public;31330;Grenade
0310526D;-;ecole;public;31190;Grépiac
0310530H;-;ecole;public;31210;Huos
0310534M;-;ecole;public;31160;Izaut-de-l'Hôtel
0310539T;-;ecole;public;31800;Labarthe-Inard
0310543X;-;ecole;public;31860;Labarthe-sur-Lèze
0310545Z;-;ecole;public;31450;Labastide-Beauvoir
0310546A;-;ecole;public;31370;Labastide-Clermont
0310547B;-;ecole;public;31230;Labastide-Paumès
0310548C;-;ecole;public;31620;Labastide-Saint-Sernin
