0320013R;-;college;public;32200;Gimont
0320019X;-;college;public;32230;Marciac
0320033M;-;college;public;32190;Vic-Fezensac
0320010M;Antoine De Saint-Exupéry;college;public;32100;Condom
0320608M;Beauregard;college;public;32140;Masseube
0320027F;D'Artagnan;college;public;32110;Nogaro
0320035P;de l'Astarac;college;public;32300;Mirande
0320021Z;du Fezensaguet;college;public;32120;Mauvezin
0320008K;du Lac de l'Uby;college;public;32150;Cazaubon
0320029H;du Val d'Adour;college;public;32400;Riscle
0320031K;François De Belleforest;college;public;32130;Samatan
0320012P;Hubert Reeves;college;public;32500;Fleurance
0320011N;Jean Rostand;college;public;32800;Eauze
0320028G;Louis Pasteur;college;public;32160;Plaisance
0320014S;Louise Michel;college;public;32600;L'Isle-Jourdain
0320017V;Maréchal Lannes;college;public;32700;Lectoure
0320006H;Mathalin;college;public;32022;Auch
0320059R;Notre-Dame de Piétat;college;prive;32100;Condom
0320056M;Notre-Dame du Clos Fleuri;college;prive;32600;L'Isle-Jourdain
0320650H;Oratoire Sainte-Marie;college;prive;32002;Auch
0320563N;Sadi Carnot;college;public;32008;Auch
0320004F;Saint-Christophe;college;prive;32140;Masseube
0320686X;Saint-Joseph;college;prive;32500;Fleurance
0320651J;Saint-Joseph;college;prive;32700;Lectoure
0320052H;Saint-Taurin;college;prive;32800;Eauze
0320562M;Salinis;college;public;32008;Auch
0320074G;Vasconie;college;public;32170;Miélan
0320001C;Vert;college;public;32290;Aignan
0320090Z;1;ecole;public;32700;Lectoure
0320347D;1;ecole;public;32460;Le-Houga
0320179W;1;ecole;public;32110;Nogaro
0320323C;1;ecole;public;32190;Vic-Fezensac
0320091A;2;ecole;public;32700;Lectoure
0320132V;2;ecole;public;32120;Mauvezin
0320381R;-;ecole;public;32290;Aignan
0320385V;-;ecole;public;32110;Arblade-le-Haut
0320589S;-;ecole;public;32270;Aubiet
0320397H;-;ecole;public;32000;Auch
0320408V;-;ecole;public;32600;Auradé
0320409W;-;ecole;public;32400;Aurensan
0320410X;-;ecole;public;32550;Auterive
0320411Y;-;ecole;public;32170;Aux-Aussat
0320417E;-;ecole;public;32720;Barcelonne-du-Gers
0320420H;-;ecole;public;32350;Barran
0320594X;-;ecole;public;32320;Bassoues
0320426P;-;ecole;public;32410;Beaucaire
0320606K;-;ecole;public;32160;Beaumarchés
0320434Y;-;ecole;public;32300;Berdoues
0320440E;-;ecole;public;32350;Biran
0320443H;-;ecole;public;32100;Blaziert
0320446L;-;ecole;public;32450;Boulaur
0320453U;-;ecole;public;32400;Cahuzac-sur-Adour
0320457Y;-;ecole;public;32450;Castelnau-Barbarens
0320460B;-;ecole;public;32440;Castelnau-d'Auzan
0320462D;-;ecole;public;32100;Castelnau-sur-l'Auvignon
0320464F;-;ecole;public;32700;Castéra-Lectourois
0320465G;-;ecole;public;32410;Castéra-Verduzan
0320472P;-;ecole;public;32360;Castillon-Massas
0320477V;-;ecole;public;32100;Caussens
0320478W;-;ecole;public;32150;Cazaubon
0320486E;-;ecole;public;32500;Céran
0320488G;-;ecole;public;32140;Chélan
0320490J;-;ecole;public;32430;Cologne
0320498T;-;ecole;public;32400;Corneillan
0320502X;-;ecole;public;32330;Courrensan
0320503Y;-;ecole;public;32270;Crastes
0320504Z;-;ecole;public;32190;Dému
0320506B;-;ecole;public;32810;Duran
0320513J;-;ecole;public;32430;Encausse
0320515L;-;ecole;public;32200;Escorneboeuf
0320614U;-;ecole;public;32240;Estang
0320528A;-;ecole;public;32490;Frégouville
0320531D;-;ecole;public;32160;Galiax
0320340W;-;ecole;public;32200;Gimont
0320342Y;-;ecole;public;32330;Gondrin
0320344A;-;ecole;public;32500;Goutz
0320607L;-;ecole;public;32360;Jegun
0320359S;-;ecole;public;32160;Jû-Belloc
0320367A;-;ecole;public;32300;Labéjan
0320369C;-;ecole;public;32230;Ladevèze-Rivière
0320371E;-;ecole;public;32300;Lagarde-Hachan
0320374H;-;ecole;public;32330;Lagraulet-du-Gers
0320375J;-;ecole;public;32170;Laguian-Mazous
0320377L;-;ecole;public;32810;Lahitte
0320378M;-;ecole;public;32140;Lalanne-Arqué
0320018W;-;ecole;public;32190;Lannepax
0320590T;-;ecole;public;32480;La-Romieu
0320080N;-;ecole;public;32100;Larroque-sur-l'Osse
0320286M;-;ecole;public;32500;La-Sauvetat
0320083S;-;ecole;public;32550;Lasséran
0320084T;-;ecole;public;32110;Laujuzan
0320086V;-;ecole;public;32360;Lavardens
0320088X;-;ecole;public;32220;Laymont
0320450R;-;ecole;public;32350;Le-Brouilh-Monbert
0320094D;-;ecole;public;32400;Lelin-Lapujolle
0320351H;-;ecole;public;32300;L'Isle-de-Noé
0320099J;-;ecole;public;32220;Lombez
0320103N;-;ecole;public;32290;Lupiac
0320105R;-;ecole;public;32270;Lussan
0320106S;-;ecole;public;32110;Magnan
0320109V;-;ecole;public;32730;Malabat
0320110W;-;ecole;public;32170;Manas-Bastanous
0320112Y;-;ecole;public;32370;Manciet
0320114A;-;ecole;public;32140;Manent-Montané
0320116C;-;ecole;public;32190;Marambat
0320117D;-;ecole;public;32230;Marciac
0320120G;-;ecole;public;32290;Margouët-Meymes
0320122J;-;ecole;public;32270;Marsan
0320123K;-;ecole;public;32700;Marsolan
0320124L;-;ecole;public;32700;Mas-d'Auvignon
0320125M;-;ecole;public;32140;Masseube
0320129S;-;ecole;public;32400;Maumusson-Laguian
0320131U;-;ecole;public;32200;Maurens
0320136Z;-;ecole;public;32170;Miélan
0320138B;-;ecole;public;32340;Miradoux
0320139C;-;ecole;public;32300;Miramont-d'Astarac
0320142F;-;ecole;public;32300;Mirande
0320147L;-;ecole;public;32420;Monbardon
0320148M;-;ecole;public;32130;Monblanc
0320149N;-;ecole;public;32600;Monbrun
0320153T;-;ecole;public;32490;Monferran-Savès
0320155V;-;ecole;public;32120;Monfort
0320157X;-;ecole;public;32240;Monguilhem
0320160A;-;ecole;public;32240;Monlezun-d'Armagnac
0320165F;-;ecole;public;32810;Montaut-les-Créneaux
0320167H;-;ecole;public;32550;Montégut
0320168J;-;ecole;public;32730;Montégut-Arros
0320169K;-;ecole;public;32320;Montesquiou
0320170L;-;ecole;public;32390;Montestruc-sur-Gers
0320172N;-;ecole;public;32220;Montpézat
0320175S;-;ecole;public;32250;Montréal
0320176T;-;ecole;public;32240;Mormès
0320177U;-;ecole;public;32330;Mouchan
0320182Z;-;ecole;public;32130;Noilhan
0320183A;-;ecole;public;32270;Nougaroulet
0320186D;-;ecole;public;32350;Ordan-Larroque
