0360001F;Frédéric Chopin;college;public;36140;Aigurande-sur-Bouzanne
0360016X;Les Capucins;college;public;36000;Châteauroux
0360018Z;Joliot-Curie;college;public;36700;Châtillon-sur-Indre
0360022D;A. Calmette - C. Guérin;college;public;36240;Ecueillé
0360023E;Antoine De Saint-Exupéry;college;public;36270;Eguzon-Chantôme
0360028K;Condorcet;college;public;36110;Levroux
0360030M;Vincent Rotinat;college;public;36230;Neuvy-Saint-Sépulchre
0360033R;Hervé Faye;college;public;36170;Saint-Benoît-du-Sault
0360034S;-;ecole;public;36600;Vicq-sur-Nahon
0360037V;Louis Pergaud;college;public;36160;Sainte-Sévère-sur-Indre
0360038W;Jean Rostand;college;public;36220;Tournon-Saint-Martin
0360040Y;Ferdinand De Lesseps;college;public;36150;Vatan
0360044C;Le Clos de la Garenne;college;public;36210;Chabris
0360048G;de Touvent;college;public;36000;Châteauroux
0360050J;Eric Tabarly;EREA;public;36000;Châteauroux
0360053M;-;ecole;public;36230;Tranzault
0360054N;-;ecole;public;36160;Urciers
0360062X;-;ecole;public;36330;Velles
0360064Z;-;ecole;public;36500;Vendoeuvres
0360068D;-;ecole;public;36400;Verneuil-sur-Igneraie
0360069E;-;ecole;public;36600;Veuil
0360075L;-;ecole;public;36170;Vigoux
0360076M;-;ecole;public;36160;Vijon
0360077N;Maurice Rollinat;ecole;public;36320;Villedieu-sur-Indre
0360078P;George Sand;ecole;public;36320;Villedieu-sur-Indre
0360082U;-;ecole;public;36500;Villegouin
0360088A;-;ecole;public;36110;Vineuil
0360096J;Jacques Prévert;ecole;public;36600;Villentrois
0360098L;-;ecole;public;36110;Brion
0360104T;Raoul Janvoie;ecole;public;36500;Buzançais
0360108X;-;ecole;public;36200;Ceaulmont
0360114D;Léon-Paul Fargue;ecole;public;36310;Chaillac
0360117G;Les Champagnards;ecole;public;36100;La-Champenoise
0360126S;Charles Yvernault;ecole;public;36400;Chassignolles
0360127T;François Arago;ecole;public;36000;Châteauroux
0360144L;Françoise Katz;ecole;public;36000;Châteauroux
0360146N;Jean Moulin;ecole;public;36140;Aigurande
0360150T;-;ecole;public;36120;Ambrault
0360152V;-;ecole;public;36210;Anjouin
0360154X;Saint-Vincent;ecole;public;36120;Ardentes
0360155Y;Saint-Martin;ecole;public;36120;Ardentes
0360158B;Paul Bert;ecole;public;36200;Argenton-sur-Creuse
0360159C;George Sand;ecole;public;36200;Argenton-sur-Creuse
0360166K;-;ecole;public;36330;Arthon
0360168M;Les Marronniers;ecole;public;36290;Azay-le-Ferron
0360182C;Jules Ferry;ecole;public;36300;Le-Blanc
0360183D;Jean Giraudoux;ecole;public;36300;Le-Blanc
0360185F;Ville haute;ecole;public;36300;Le-Blanc
0360189K;-;ecole;public;36100;Les-Bordes
0360191M;-;ecole;public;36200;Bouesse
0360193P;-;ecole;public;36110;Bouges-le-Château
0360203A;Paul Langevin;ecole;public;36130;Déols
0360204B;Henri Wallon;ecole;public;36130;Déols
0360207E;La Rochefoucauld;ecole;public;36130;Diors
0360213L;François Rabelais;ecole;public;36240;Ecueillé
0360216P;-;ecole;public;36270;Eguzon-Chantôme
0360217R;Fernand Maillaud;ecole;public;36120;Etrechet
0360218S;-;ecole;public;36360;Faverolles
0360230E;-;ecole;public;36240;Gehée
0360234J;-;ecole;public;36180;Heugnes
0360236L;du Val d'Anglin;ecole;public;36300;Ingrandes
0360240R;Condorcet;ecole;public;36100;Issoudun
0360243U;Michelet;ecole;public;36100;Issoudun
0360246X;Jean Jaurès;ecole;public;36100;Issoudun
0360249A;-;ecole;public;36120;Jeu-les-Bois
0360251C;-;ecole;public;36400;Lacs
0360253E;-;ecole;public;36600;Langé
0360254F;Joseph Pecherat;ecole;public;36110;Levroux
0360257J;-;ecole;public;36370;Lignac
0360258K;-;ecole;public;36160;Lignerolles
0360259L;-;ecole;public;36220;Lingé
0360265T;-;ecole;public;36400;Lourouer-Saint-Laurent
0360269X;Frédéric Chopin;ecole;public;36360;Luçay-le-Mâle
0360272A;-;ecole;public;36220;Lureuil
0360275D;-;ecole;public;36600;Lye
0360277F;Jean Moulin;ecole;public;36400;Le-Magny
0360279H;-;ecole;public;36340;Malicornay
0360280J;-;ecole;public;36120;Mâron
0360282L;F. Rouzeau - L. Lecamp;ecole;public;36220;Martizay
0360284N;-;ecole;public;36370;Mauvières
0360287S;-;ecole;public;36200;Le-Menoux
0360288T;Fontaine De Meobrenne;ecole;public;36500;Méobecq
0360289U;-;ecole;public;36220;Mérigny
0360296B;Joseph Thibault;ecole;public;36290;Mézières-en-Brenne
0360304K;-;ecole;public;36400;Montgivray
0360306M;Jean Moulin;ecole;public;36130;Montierchaume
0360308P;-;ecole;public;36230;Montipouret
0360310S;-;ecole;public;36200;Mosnay
0360322E;Henri Dunant;ecole;public;36100;Neuvy-Pailloux
0360326J;-;ecole;public;36250;Niherne
0360330N;-;ecole;public;36800;Nuret-le-Ferron
0360333S;-;ecole;public;36190;Orsennes
0360337W;-;ecole;public;36800;Oulches
0360339Y;Jean-Baptiste Franquelin;ecole;public;36500;Palluau-sur-Indre
0360341A;-;ecole;public;36170;Parnac
0360348H;Jacques Prévert;ecole;public;36200;Le-Pêchereau
0360350K;Jean Giraudoux;ecole;public;36180;Pellevoisin
0360352M;-;ecole;public;36160;Pérassay
0360355R;-;ecole;public;36350;La-Pérouille
0360359V;Lionel Jamet;ecole;public;36800;Le-Pont-Chrétien-Chabenet
0360375M;-;ecole;public;36800;Rivarennes
0360377P;-;ecole;public;36300;Rosnay
0360380T;-;ecole;public;36170;Roussines
0360383W;-;ecole;public;36300;Ruffec
0360390D;-;ecole;public;36120;Saint-Août
0360394H;-;ecole;public;36400;Saint-Chartier
0360398M;Lamartine;ecole;public;36000;Châteauroux
0360400P;Claude Bernard 1;ecole;public;36000;Châteauroux
0360401R;Claude Bernard 2;ecole;public;36000;Châteauroux
0360407X;Jean Moulin;ecole;public;36000;Châteauroux
0360410A;Jean Zay 1;ecole;public;36000;Châteauroux
0360411B;Jean Zay 2;ecole;public;36000;Châteauroux
0360414E;Saint-Martial;ecole;public;36000;Châteauroux
0360416G;René Descartes;ecole;public;36000;Châteauroux
0360421M;François Rabelais;ecole;public;36700;Châtillon-sur-Indre
0360422N;Henri Cosnier;ecole;public;36700;Châtillon-sur-Indre
0360424R;Maurice Rollinat;ecole;public;36400;La-Châtre
0360425S;Eugène Delacroix;ecole;public;36400;La-Châtre
0360428V;-;ecole;public;36200;Chavin
0360433A;-;ecole;public;36300;Ciron
0360434B;-;ecole;public;36210;Saint-Christophe-en-Bazelle
0360438F;Maurice Boulay;ecole;public;36700;Clion
0360440H;-;ecole;public;36340;Cluis
0360442K;-;ecole;public;36130;Coings
0360443L;1;ecole;public;36300;Concremiers
0360444M;2;ecole;public;36300;Concremiers
