0370006F;Joachim Du Bellay;college;public;37330;Château-la-Vallière
0370007G;André Bauchant;college;public;37110;Château-Renault
0370010K;Alcuin;college;public;37320;Cormery
0370011L;Louis Léger;college;public;37350;Le-Grand-Pressigny
0370013N;André Duchesne;college;public;37220;L'Ile-Bouchard
0370015R;Maurice Genevoix;college;public;37240;Ligueil
0370022Y;du parc;college;public;37360;Neuillé-Pont-Pierre
0370023Z;Honoré Racan;college;public;37370;Neuvy-le-Roi
0370024A;Patrick Baudry;college;public;37800;Nouâtre
0370026C;Gaston Defferre;college;public;37290;Preuilly-sur-Claise
0370033K;Pierre De Ronsard;college;public;37100;Tours
0370034L;Bernard de Fontenelle;college;public;37340;Savigné-sur-Lathan
0370041U;Michelet;college;public;37000;Tours
0370044X;Anatole France;college;public;37000;Tours
0370045Y;François Rabelais;college;public;37000;Tours
0370051E;-;college;public;37460;Montrésor
0370071B;La Rabière;college;public;37300;Joué-lès-Tours
0370085S;Jean Mermoz;ecole;public;37120;Richelieu
0370086T;Marie Curie;ecole;public;37120;Richelieu
0370088V;-;ecole;public;37120;Braslou
0370089W;-;ecole;public;37120;Braye-sous-Faye
0370090X;-;ecole;public;37120;Champigny-sur-Veude
0370091Y;Jean Moulin;ecole;public;37270;Larçay
0370093A;Emile Gerbault;ecole;public;37270;Montlouis-sur-Loire
0370094B;Paul Racault;ecole;public;37270;Montlouis-sur-Loire
0370095C;René Lejeau;ecole;public;37270;Montlouis-sur-Loire
0370097E;Henri Adam;ecole;public;37550;Saint-Avertin
0370103L;de la République;ecole;public;37700;Saint-Pierre-des-Corps
0370115Z;-;ecole;public;37510;Berthenay
0370117B;Marie Curie;ecole;public;37300;Joué-lès-Tours
0370119D;Alouette;ecole;public;37300;Joué-lès-Tours
0370126L;Ferdinand Buisson;ecole;public;37520;La-Riche
0370127M;Paul Bert;ecole;public;37520;La-Riche
0370130R;-;ecole;public;37510;Savonnières
0370132T;-;ecole;public;37510;Villandry
0370135W;Romain Rolland;ecole;public;37000;Tours
0370138Z;La Guignière;ecole;public;37230;Fondettes
0370146H;Anatole France;ecole;public;37540;Saint-Cyr-sur-Loire
0370148K;de la République;ecole;public;37540;Saint-Cyr-sur-Loire
0370155T;Jean Monnet;ecole;public;37230;Saint-Etienne-de-Chigny
0370162A;-;ecole;public;37210;Vouvray
0370166E;-;ecole;public;37390;Chanceaux-sur-Choisille
0370171K;-;ecole;public;37380;Neuillé-le-Lierre
0370176R;-;ecole;public;37210;Parçay-Meslay
0370184Z;de Cousse;ecole;public;37210;Vernou-sur-Brenne
0370193J;-;ecole;public;37800;Sainte-Catherine-de-Fierbois
0370195L;-;ecole;public;37800;Saint-Epain
0370202U;Paul Bert;ecole;public;37000;Tours
0370208A;Clocheville;ecole;public;37000;Tours
0370211D;Stéphane Pitard;ecole;public;37000;Tours
0370212E;Anatole France;ecole;public;37000;Tours
0370213F;Jean Macé;ecole;public;37000;Tours
0370214G;Jules Renard;ecole;public;37000;Tours
0370215H;Michelet;ecole;public;37000;Tours
0370223S;François Rabelais;ecole;public;37000;Tours
0370225U;Paul Racault;ecole;public;37000;Tours
0370230Z;Maryse Bastié;ecole;public;37000;Tours
0370235E;-;ecole;public;37500;Ligré
0370249V;-;ecole;public;37800;Maillé
0370253Z;-;ecole;public;37190;Neuil
0370256C;-;ecole;public;37800;Noyant-de-Touraine
0370260G;-;ecole;public;37800;Pouzay
0370314R;Jacques Prévert;ecole;public;37360;Neuillé-Pont-Pierre
0370318V;-;ecole;public;37390;Cerelles
0370319W;-;ecole;public;37390;Charentilly
0370321Y;-;ecole;public;37230;Pernay
0370322Z;-;ecole;public;37360;Rouziers-de-Touraine
0370323A;-;ecole;public;37360;Saint-Antoine-du-Rocher
0370325C;-;ecole;public;37390;Saint-Roch
0370331J;-;ecole;public;37370;Neuvy-le-Roi
0370333L;-;ecole;public;37370;Bueil-en-Touraine
0370334M;-;ecole;public;37370;Chemillé-sur-Dême
0370339T;-;ecole;public;37370;Marray
0370340U;-;ecole;public;37370;Saint-Aubin-le-Dépeint
0370346A;-;ecole;public;37290;Preuilly-sur-Claise
0370353H;-;ecole;public;37290;Charnizay
0370355K;-;ecole;public;37350;Chaumussay
0370357M;-;ecole;public;37290;Tournon-Saint-Pierre
0370363U;Jean Moulin;ecole;public;37510;Ballan-Miré
0370364V;Hélène Boucher;ecole;public;37510;Ballan-Miré
