0410003F;Bégon;college;public;41000;Blois
0410005H;Hubert Fillay;college;public;41250;Bracieux
0410008L;Jean Rostand;college;public;41600;Lamotte-Beuvron
0410013S;Louis Pasteur;college;public;41160;Morée
0410015U;Lavoisier;college;public;41290;Oucques
0410016V;René Cassin;college;public;41240;Ouzouer-le-Marché
0410019Y;Maurice Genevoix;college;public;41200;Romorantin-Lanthenay
0410024D;Honoré De Balzac;college;public;41310;Saint-Amand-Longpré
0410035R;Louis Pergaud;college;public;41210;Neung-sur-Beuvron
0410041X;-;ecole;public;41400;Angé
0410042Y;-;ecole;public;41100;Areines
0410045B;-;ecole;public;41240;Autainville
0410047D;-;ecole;public;41310;Authon
0410048E;-;ecole;public;41500;Avaray
0410049F;-;ecole;public;41330;Averdon
0410053K;-;ecole;public;41250;Bauzy
0410059S;-;ecole;public;41240;Binas
0410061U;Victor Hugo;ecole;public;41000;Blois
0410063W;Marcel Buhler;ecole;public;41000;Blois
0410067A;Maréchal Foch;ecole;public;41000;Blois
0410069C;Raphaël Perie;ecole;public;41000;Blois
0410077L;Jules Ferry;ecole;public;41000;Blois
0410081R;Les Grouets;ecole;public;41000;Blois
0410082S;de Villejoint;ecole;public;41000;Blois
0410098J;Lucien Gigaud;ecole;public;41400;Bourré
0410104R;-;ecole;public;41160;Busloup
0410105S;-;ecole;public;41120;Candé-sur-Beuvron
0410107U;Louis Pasteur;ecole;public;41120;Cellettes
0410109W;Les Tilleuls;ecole;public;41120;Chailles
0410111Y;-;ecole;public;41190;Chambon-sur-Cisse
0410113A;-;ecole;public;41330;Champigny-en-Beauce
0410114B;-;ecole;public;41600;Chaon
0410116D;-;ecole;public;41320;La-Chapelle-Montmartin
0410117E;-;ecole;public;41500;La-Chapelle-Saint-Martin-en-Plaine
0410119G;-;ecole;public;41330;La-Chapelle-Vendômoise
0410129T;Le Poirier Herpin;ecole;public;41150;Chaumont-sur-Loire
0410131V;Le Bois Fraisier;ecole;public;41600;Chaumont-sur-Tharonne
0410134Y;Les Basses Roches;ecole;public;41260;La-Chaussée-Saint-Victor
0410144J;-;ecole;public;41170;Choue
