0440008V;François Cacault;college;public;44190;Clisson
0440010X;Paul Langevin;college;public;44220;Couëron
0440013A;-;college;public;44290;Guémené-Penfao
0440015C;Jacques Prévert;college;public;44410;Herbignac
0440016D;Anne De Bretagne;college;public;44800;Saint-Herblain
0440018F;Raymond Queneau;college;public;44270;Machecoul
0440023L;Chantenay;college;public;44100;Nantes
0440025N;Talence;college;public;44300;Nantes
0440028S;La Colinière;college;public;44319;Nantes
0440045K;Victor Hugo;college;public;44042;Nantes
0440049P;Aristide Briand;college;public;44262;Nantes
0440055W;Jean Rostand;college;public;44700;Orvault
0440061C;Jules Verne;college;public;44510;Le-Pouliguen
0440064F;de Pont-Rousseau;college;public;44400;Rezé
0440065G;de la Petite Lande;college;public;44400;Rezé
0440066H;René-Guy Cadou;college;public;44250;Saint-Brévin-les-Pins
0440080Y;Jean Monnet;college;public;44120;Vertou
0440107C;d'Angreviers;college;prive;44190;Gorges
0440147W;René-Guy Cadou;college;public;44150;Ancenis
0440152B;de la Haye Saint-Donatien;college;prive;44590;Derval
0440153C;Saint-Gabriel;college;prive;44115;Haute-Goulaine
0440168U;Sacré-Coeur;college;prive;44100;Nantes
0440179F;de la Maine;college;prive;44140;Aigrefeuille-sur-Maine
0440182J;Saint-Laurent;college;prive;44130;Blain
0440184L;Saint-Hermeland;college;prive;44830;Bouaye
0440188R;de l'Immaculée Conception;college;prive;44190;Clisson
0440190T;Sainte-Philomène;college;prive;44220;Couëron
0440191U;Sainte-Marie;college;prive;44500;La-Baule-Escoublac
0440192V;Saint-Michel;college;prive;44290;Guémené-Penfao
0440193W;Saint-Jean-Baptiste;college;prive;44350;Guérande
0440195Y;Saint-Joseph;college;prive;44410;Herbignac
0440196Z;Sainte-Anne;college;prive;44650;Legé
0440198B;Notre-Dame;college;prive;44620;La-Montagne
0440199C;Saint-Joseph;college;prive;44850;Ligné
0440200D;Notre-Dame;college;prive;44430;Le-Loroux-Bottereau
0440203G;Notre-Dame de l'Abbaye;college;prive;44100;Nantes
0440206K;Notre-Dame du Bon Conseil;college;prive;44022;Nantes
0440207L;Saint-Jean-Baptiste De La Salle;college;prive;44000;Nantes
0440209N;Helder Camara;college;prive;44119;Treillières
0440210P;Sainte-Madeleine - La Joliverie;college;prive;44265;Nantes
0440211R;Théophane Vénard;college;prive;44100;Nantes
0440217X;Notre-Dame de Lourdes;college;prive;44300;Nantes
0440219Z;Saint-Jacques De Compostelle;college;prive;44200;Nantes
0440221B;Saint-Michel;college;prive;44390;Nort-sur-Erdre
0440223D;Saint-Joseph;college;prive;44170;Nozay
0440224E;Saint-Martin;college;prive;44160;Pontchâteau
0440226G;Notre-Dame de Recouvrance;college;prive;44210;Pornic
0440228J;du Sacré-Coeur;college;prive;44380;Pornichet
0440229K;Saint-Paul;college;prive;44400;Rezé
0440231M;Sainte-Anne;college;prive;44400;Rezé
0440232N;Saint-Augustin;college;prive;44440;Riaillé
0440233P;Saint-Joseph;college;prive;44250;Saint-Brévin-les-Pins
0440235S;Sainte-Thérèse;college;prive;44600;Saint-Nazaire
0440236T;du Sacré-Coeur;college;prive;44680;Sainte-Pazanne
0440238V;Saint-Roch;college;prive;44320;Saint-Père-en-Retz
0440239W;Général Lamoricière;college;prive;44310;Saint-Philbert-de-Grand-Lieu
0440241Y;Saint-Joseph;college;prive;44260;Savenay
0440242Z;Saint-Joseph;college;prive;44330;Vallet
0440243A;Sainte-Anne;college;prive;44370;Varades
0440244B;Saint-Blaise;college;prive;44120;Vertou
0440283U;Libertaire - Rutigliano;college;public;44319;Nantes
0440284V;Stendhal;college;public;44322;Nantes
0440285W;Gaston Serpette;college;public;44000;Nantes
0440286X;Claude Debussy;college;public;44100;Nantes
0440287Y;Le Hérault;college;public;44800;Saint-Herblain
0440289A;Jean Mounes;college;public;44210;Pornic
0440290B;Pierre Brossolette;ecole;public;44600;Saint-Nazaire
0440291C;Iles de Loire;college;public;44230;Saint-Sébastien-sur-Loire
0440292D;Jean Mermoz;college;public;44170;Nozay
0440293E;Robert Schumann;college;public;44110;Châteaubriant
0440308W;Le Galinet;college;public;44130;Blain
0440309X;Le Breil;college;public;44100;Nantes
0440311Z;Ernest Renan;college;public;44800;Saint-Herblain
0440314C;Jean Moulin;college;public;44600;Saint-Nazaire
0440316E;La Neustrie;college;public;44340;Bouguenais
0440329U;-;EREA;public;44300;Nantes
0440347N;Antoine De Saint-Exupéry;college;public;44620;La-Montagne
