0500150S;Interparoissial;college;prive;50000;Saint-Lo
0500121K;Saint Joseph;college;prive;50001;Saint-Lô
0500094F;Georges Lavalley;college;public;50003;Saint-Lô
0500095G;Louis Pasteur;college;public;50008;Saint-Lô
0501829S;Jean Baptiste Charcot;college;public;50100;Cherbourg-Octeville
0500140F;Saint Joseph;college;prive;50100;Cherbourg-Octeville
0500092D;La Bucaille;college;public;50100;Cherbourg-Octeville
0501702D;Saint Paul;college;prive;50100;Cherbourg-Octeville
0500080R;Diderot;college;public;50110;Tourlaville
0500034R;Raymond Le Corre;college;public;50120;Equeurdreville-Hainneville
0500062W;Le Ferronay;college;public;50130;Cherbourg-Octeville
0501205N;Les Provinces;college;public;50130;Cherbourg-Octeville
0500050H;Robert De Mortain;college;public;50140;Mortain
0500144K;Sacre Coeur;college;prive;50140;Mortain
0500076L;Victor Hugo;college;public;50150;Sourdeval
0500153V;Notre Dame;college;prive;50150;Sourdeval
0500079P;Albert Camus;college;public;50160;Torigni-Sur-Vire
0501241C;Georges Brassens;college;public;50170;Pontorson
0501701C;Institut Saint-Lô;college;prive;50180;Agneaux
0500053L;-;college;public;50190;Periers
0500117F;Guerard;college;prive;50206;Coutances
0501206P;Jacques Prévert;college;public;50207;Coutances
0501703E;Germain;college;prive;50208;Coutances
0500014U;Anne Heurgon-Desjardins;college;public;50210;Cerisy-La-Salle
0501240B;Gabriel De Montgomery;college;public;50220;Ducey
0500001E;Les Embruns;college;public;50230;Agon-Coutainville
0501242D;Le Clos Tardif;college;public;50240;Saint-James
0500149R;Immaculée Conception;college;prive;50240;Saint-James
0501218C;Etenclin;college;public;50250;La Haye-Du-Puits
0500010P;Marcel Grillard;college;public;50260;Bricquebec
0501239A;La Vanlee;college;public;50290;Bréhal
0501704F;Notre Dame De La Providence;college;prive;50300;Avranches
0500003G;Challemel Lacour;college;public;50303;Avranches
0501525L;La Chaussonnière;college;public;50303;Avranches
0500047E;Tiphaigne De La Roche;college;public;50310;Montebourg
0501201J;L Abbaye;college;prive;50310;Montebourg
0500042Z;Louis Beuve;college;public;50320;La Haye-Pesnel
0500122L;Notre Dame;college;prive;50330;Saint-Pierre-Eglise
0500069D;Gilles De Gouberville;college;public;50330;Saint-Pierre-Eglise
0501799J;Lucien Goubert;college;public;50340;Flamanville
0501220E;Le Castillon;college;public;50340;Les Pieux
0501302U;-;college;public;50370;Brécey
0500072G;Barbey D'aurevilly;college;public;50390;Saint-Sauveur-Le-Vicomte
0500152U;De L Abbaye;college;prive;50390;Saint-Sauveur-Le-Vicomte
0501705G;Sévigné;college;prive;50400;Granville
0500039W;Andre Malraux;college;public;50407;Granville
0500052K;Du Moulin De Haut;college;public;50410;Percy
0500078N;Raymond Queneau;college;public;50420;Tessy-Sur-Vire
0500154W;Sainte Marie;college;prive;50420;Tessy-Sur-Vire
0501458N;G. Desdevises Du Dezert;college;public;50430;Lessay
0500006K;Le Hague-Dike;college;public;50442;Beaumont-Hague
0500035S;Roland Vaudatin;college;public;50450;Gavray
0501482P;Jules Ferry;college;public;50460;Querqueville
0501216A;Emile Zola;college;public;50470;La Glacerie
0500068C;Saint Exupery;college;public;50480;Sainte-Mere-Eglise
0500071F;Tancrede De Hauteville;college;public;50490;Saint-Sauveur-Lendelin
0500139E;Notre-Dame;college;prive;50500;Carentan
0500012S;Léon Gambetta;college;public;50500;Carentan
0500044B;Charlemagne;college;public;50520;Juvigny-Le-Tertre
0501930B;Charlemagne;college;public;50520;Juvigny-Le-Tertre
0500075K;Anatole France;college;public;50530;Sartilly
