0530001N;Léo Ferré;college;public;53300;Ambrières-les-Vallées
0530002P;des Sept Fontaines;college;public;53240;Andouillé
0530003R;Jean-Louis Bernard;college;public;53160;Bais
0530005T;Volney;college;public;53400;Craon
0530007V;Paul Langevin;college;public;53600;Evron
0530015D;Pierre Dubois;college;public;53000;Laval
0530021K;de Misedon;college;public;53410;Port-Brillet
0530025P;Les Garettes;college;public;53700;Villaines-la-Juhel
0530030V;L'Oriette;college;public;53230;Cossé-le-Vivien
0530031W;Le Grand Champ;college;public;53290;Grez-en-Bouère
0530041G;Emmanuel De Martonne;college;public;53000;Laval
0530051T;Sainte-Thérèse;college;prive;53000;Laval
0530053V;Don Bosco - Jouvence;college;prive;53100;Mayenne
0530054W;Saint-Joseph;college;prive;53230;Cossé-le-Vivien
0530055X;Le Prieuré;college;prive;53400;Craon
0530059B;Sacré-Coeur;college;prive;53600;Evron
0530060C;Sacré-Coeur;college;prive;53120;Gorron
0530061D;Saint-Jean-Baptiste De La Salle;college;prive;53000;Laval
0530063F;Saint-Joseph;college;prive;53170;Meslay-du-Maine
0530064G;Saint-Joseph;college;prive;53150;Montsûrs
0530065H;Notre-Dame;college;prive;53410;Saint-Pierre-la-Cour
0530066J;Sainte-Jeanne D'Arc;college;prive;53700;Villaines-la-Juhel
0530077W;René Cassin;college;public;53500;Ernée
0530078X;Jules Ferry;college;public;53100;Mayenne
0530082B;Jules Renard;college;public;53000;Laval
0530086F;Suzanne Sens;ecole;public;53940;Ahuillé
0530087G;Bigottière Saint-Germain;ecole;public;53240;Alexain
0530089J;-;ecole;public;53300;Ambrières-les-Vallées
0530092M;La Marelle;ecole;public;53240;Andouillé
0530094P;Jacques-Yves Cousteau;ecole;public;53210;Argentré
0530095R;du Petit Bois  ;ecole;public;53440;Aron
0530100W;R.P.I.;ecole;public;53700;Averton
0530102Y;-;ecole;public;53200;Azé
0530105B;-;ecole;public;53160;Bais
0530107D;-;ecole;public;53340;Ballée
0530109F;R.P.I.;ecole;public;53350;Ballots
0530112J;-;ecole;public;53440;La-Bazoge-Montpinçon
0530114L;Jean Guéhenno;ecole;public;53200;Château-Gontier
0530117P;-;ecole;public;53320;Beaulieu-sur-Oudon
0530118R;Bizu;ecole;public;53290;Beaumont-Pied-de-Boeuf
0530122V;La Bignone;ecole;public;53170;Le-Bignon-du-Maine
0530128B;-;ecole;public;53800;Bouchamps-lès-Craon
0530130D;-;ecole;public;53290;Bouessay
0530131E;-;ecole;public;53370;Boulay-les-Ifs
0530132F;-;ecole;public;53410;Le-Bourgneuf-la-Forêt
