0810002M;Alain Fournier;college;public;81250;Alban
0810008U;-;college;public;81260;Brassac
0810019F;du Val Cérou;college;public;81170;Cordes-sur-Ciel
0810020G;Madeleine Cros;college;public;81110;Dourgne
0810025M;La Vallée du Thore;college;public;81270;Labastide-Rouairoux
0810026N;Marcel Pagnol;college;public;81290;Labruguière
0810027P;La Balme;college;public;81230;Lacaune
0810028R;-;college;public;81440;Lautrec
0810036Z;Jacques Durand;college;public;81700;Puylaurens
0810037A;Léon Gambetta;college;public;81800;Rabastens
0810038B;Louisa Paulin;college;public;81120;Réalmont
0810041E;Pierre Suc;college;public;81370;Saint-Sulpice
0810043G;Eustache De Beaumarchais;college;public;81340;Valence-d'Albigeois
0810044H;René Cassin;college;public;81570;Vielmur-sur-Agout
0810051R;Aristide Bruant;college;public;81000;Albi
0810052S;Honoré De Balzac;college;public;81000;Albi
0810061B;Jean Monnet;college;public;81100;Castres
0810070L;Emilie De Villeneuve;college;prive;81105;Castres
0810086D;de la Croix Haute;college;prive;81400;Carmaux
0810088F;Saint-Joseph;college;prive;81100;Castres
0810089G;Saint-Dominique;college;prive;81290;Labruguière
0810092K;Puységur;college;prive;81800;Rabastens
0810122T;Saint-Jean;college;prive;81370;Saint-Sulpice
0810124V;du Saut de Sabo;college;public;81160;Saint-Juéry
0810125W;Louis Pasteur;college;public;81300;Graulhet
0810126X;Bonnecombe;college;public;81200;Mazamet
0810127Y;Marcel Pagnol;college;public;81200;Mazamet
0810130B;Villegoudou;ecole;public;81100;Castres
0810135G;La Verdarie;ecole;public;81100;Castres
0810136H;Le Puech - Auriol;ecole;public;81100;Castres
0810140M;Les Salvages;ecole;public;81100;Castres
0810142P;-;ecole;public;81490;Boissezon
0810143R;Les Vignals;ecole;public;81100;Burlats
0810144S;Lafontasse;ecole;public;81100;Burlats
0810146U;-;ecole;public;81570;Carbes
0810147V;-;ecole;public;81570;Cuq
0810148W;-;ecole;public;81570;Fréjeville
0810149X;-;ecole;public;81220;Guitalens
0810150Y;-;ecole;public;81220;Lalbarède
0810151Z;La Chicane;ecole;public;81210;Montfa
0810152A;-;ecole;public;81710;Navès
0810153B;-;ecole;public;81490;Noailhac
0810158G;-;ecole;public;81710;Saïx
0810160J;de Longuegineste;ecole;public;81710;Saïx
0810162L;-;ecole;public;81570;Sémalens
0810163M;-;ecole;public;81220;Serviès
0810164N;-;ecole;public;81570;Vielmur-sur-Agout
0810166R;Louis Pasteur;ecole;public;81290;Labruguière
0810167S;Marie Curie;ecole;public;81290;Labruguière
0810170V;Saint-Hilaire;ecole;public;81290;Labruguière
0810172X;-;ecole;public;81110;Arfons
0810174Z;-;ecole;public;81290;Escoussens
0810175A;-;ecole;public;81090;Lagarrigue
0810177C;-;ecole;public;81110;Massaguel
0810180F;-;ecole;public;81150;Bernac
0810184K;-;ecole;public;81600;Cadalen
0810197Z;-;ecole;public;81150;Cestayrols
0810199B;-;ecole;public;81150;Fayssac
0810200C;-;ecole;public;81150;Labastide-de-Lévis
