0850014D;du Golfe des Pictons;college;public;85770;L'Ile-d'Elle
0850015E;Les Sicardières;college;public;85350;L'Ile-d'Yeu
0850024P;Gaston Chaissac;college;public;85700;Pouzauges
0850039F;du Pays de Monts;college;public;85160;Saint-Jean-de-Monts
0850047P;-;EREA;public;85100;Château-d'Olonne
0850063G;Haxo;college;public;85000;La-Roche-sur-Yon
0850065J;Pierre Garcie Ferrande;college;public;85800;Saint-Gilles-Croix-de-Vie
0850066K;François Viète;college;public;85200;Fontenay-le-Comte
0850067L;André Tiraqueau;college;public;85200;Fontenay-le-Comte
0850069N;Emile Beaussire;college;public;85400;Luçon
0850073T;Sainte-Marie;college;prive;85250;Chavagnes-en-Paillers
0850074U;Saint-Joseph;college;prive;85200;Fontenay-le-Comte
0850082C;Richelieu;college;prive;85000;La-Roche-sur-Yon
0850084E;Amiral Merveilleux Du Vignaux;college;prive;85100;Château-d'Olonne
0850090L;Sainte-Marie;college;prive;85190;Aizenay
0850091M;Notre-Dame de l'Espérance;college;prive;85260;Les-Brouzils
0850092N;Saint-Martin;college;prive;85490;Benet
0850097U;Saint-Joseph;college;prive;85120;La-Châtaigneraie
0850099W;Saint-Pierre;college;prive;85140;Les-Essarts
0850103A;Notre-Dame du Port;college;prive;85350;L'Ile-d'Yeu
0850104B;Villebois - Mareuil;college;prive;85600;Montaigu
0850106D;Saint-Jacques;college;prive;85150;La-Mothe-Achard
0850107E;Saint-Jacques;college;prive;85540;Moutiers-les-Mauxfaits
0850108F;Saint-Paul;college;prive;85670;Palluau
0850109G;Les Sorbets;college;prive;85330;Noirmoutier-en-l'Ile
0850111J;Puy Chabot;college;prive;85170;Le-Poiré-sur-Vie
0850113L;Saint-Sauveur;college;prive;85620;Rocheservière
0850114M;Saint-Louis;college;prive;85000;La-Roche-sur-Yon
0850117R;Notre-Dame de Bourgenay;college;prive;85100;Les-Sables-d'Olonne
0850122W;Saint-Paul;college;prive;85210;Sainte-Hermine
0850123X;Les Lauriers;college;prive;85160;Saint-Jean-de-Monts
0850125Z;Saint-Nicolas;college;prive;85130;Tiffauges
0850145W;René Couzinet;college;public;85110;Chantonnay
0850147Y;Charles Milcendeau;college;public;85300;Challans
0850148Z;du centre;college;public;85100;Les-Sables-d'Olonne
0850149A;Paul Langevin;college;public;85340;Olonne-sur-Mer
0850162P;Les Robretières;ecole;prive;85000;La-Roche-sur-Yon
0850195A;Louis Buton;ecole;public;85190;Aizenay
0850197C;du Dauphin Bleu;ecole;public;85750;Angles
0850199E;-;ecole;public;85220;Apremont
0850200F;-;ecole;public;85430;Aubigny
0850202H;-;ecole;public;85440;Avrillé
0850206M;La Porte des Iles;ecole;public;85550;La-Barre-de-Monts
0850212U;René Goscinny;ecole;public;85190;Beaulieu-sous-la-Roche
0850214W;-;ecole;public;85230;Beauvoir-sur-Mer
0850218A;Les Champs du Bois;ecole;public;85490;Benet
0850222E;-;ecole;public;85560;Le-Bernard
0850223F;-;ecole;public;85320;Bessay
0850229M;-;ecole;public;85420;Bouillé-Courdault
0850232R;Pierre Menanteau;ecole;public;85510;Le-Boupère
0850234T;l'Orée du Bois;ecole;public;85200;Bourneau
0850238X;Benjamin Rabier;ecole;public;85470;Brétignolles-sur-Mer
0850241A;-;ecole;public;85530;La-Bruffière
0850243C;Les P'tits Marrons;ecole;public;85410;La-Caillère-Saint-Hilaire
0850249J;-;ecole;public;85310;Chaillé-sous-les-Ormeaux
0850250K;-;ecole;public;85200;Chaix
0850253N;Victor Hugo;ecole;public;85300;Challans
0850254P;Capitaine Debouté;ecole;public;85300;Challans
0850259V;Jacques-Yves Cousteau;ecole;public;85540;Le-Champ-Saint-Père
0850260W;L'Eolière;ecole;public;85110;Chantonnay
0850264A;de Puybelliard;ecole;public;85110;Chantonnay
