0860002K;Romain Rolland;college;public;86250;Charroux
0860014Y;André Brouillet;college;public;86700;Couhé
0860015Z;Bellevue;college;public;86220;Dangé-Saint-Romain
0860016A;Jean Jaurès;college;public;86160;Gençay
0860017B;René Cassin;college;public;86150;L'Isle-Jourdain
0860019D;Arthur Rimbaud;college;public;86190;Latillé
0860020E;Arsène Lambert;college;public;86140;Lencloître
0860023H;Joachim Du Bellay;college;public;86200;Loudun
0860026L;Louise Michel;college;public;86320;Lussac-les-Châteaux
0860027M;Georges David;college;public;86110;Mirebeau
0860031S;Jean Moulin;college;public;86500;Montmorillon
0860032T;Jean Rostand;college;public;86170;Neuville-de-Poitou
0860040B;Jardin des Plantes;college;public;86000;Poitiers
0860043E;Léon Huet;college;public;86270;La-Roche-Posay
0860044F;Maurice Bedel;college;public;86230;Saint-Gervais-les-Trois-Clochers
0860045G;Isaac De Razilly;college;public;86330;Saint-Jean-de-Sauves
0860046H;Prosper Mérimée;college;public;86310;Saint-Savin
0860047J;Frédéric et Irène Joliot-Curie;college;public;86370;Vivonne
0860049L;Camille Guérin;college;public;86210;Vouneuil-sur-Vienne
0860053R;Camille Claudel;college;public;86400;Civray
0860076R;Jean Moulin;college;public;86000;Poitiers
0860085A;-;ecole;public;86260;Angles-sur-l'Anglin
0860087C;-;ecole;public;86330;Angliers
0860090F;-;ecole;public;86310;Antigny
0860091G;-;ecole;public;86100;Antran
0860093J;-;ecole;public;86200;Arçay
0860098P;Paul Baudrin;ecole;public;86340;Aslonnes
0860101T;Roger Morin;ecole;public;86530;Availles-en-Châtellerault
0860103V;-;ecole;public;86460;Availles-Limouzine
0860105X;-;ecole;public;86170;Avanton
0860106Y;-;ecole;public;86190;Ayron
0860108A;Jeanne Kaes;ecole;public;86490;Beaumont
0860112E;-;ecole;public;86470;Benassay
0860117K;Camille et Denise Alléaume;ecole;public;86190;Béruges
0860119M;-;ecole;public;86310;Béthines
0860121P;-;ecole;public;86120;Beuxes
0860123S;-;ecole;public;86580;Biard
0860125U;Jacques-Yves Cousteau;ecole;public;86800;Bignoux
0860126V;-;ecole;public;86400;Blanzay
0860131A;Maurice Fombeure;ecole;public;86210;Bonneuil-Matours
0860134D;-;ecole;public;86410;Bouresse
0860138H;-;ecole;public;86120;Bournand
0860139J;-;ecole;public;86290;Brigueil-le-Chantre
0860146S;-;ecole;public;86180;Buxerolles
0860150W;-;ecole;public;37160;Buxeuil
0860153Z;-;ecole;public;86200;Ceaux-en-Loudun
0860156C;Perle d'Eau;ecole;public;86600;Celle-Lévescault
0860158E;Marcel Ribbe;ecole;public;86530;Cenon-sur-Vienne
0860160G;-;ecole;public;86380;Chabournay
0860163K;du Méridien;ecole;public;86190;Chalandray
0860166N;-;ecole;public;86160;Champagné-Saint-Hilaire
0860169S;-;ecole;public;86170;Champigny-le-Sec
0860171U;-;ecole;public;86400;Champniers
0860173W;-;ecole;public;86250;La-Chapelle-Bâton
0860177A;-;ecole;public;86210;La-Chapelle-Moulière
0860178B;-;ecole;public;86300;Chapelle-Viviers
0860180D;-;ecole;public;86170;Charrais
0860181E;-;ecole;public;86250;Charroux
0860184H;des Groseilliers;ecole;public;86360;Chasseneuil-du-Poitou
0860189N;-;ecole;public;86250;Chatain
0860190P;-;ecole;public;86350;Château-Garnier
0860192S;G. Habrioux;ecole;public;86370;Château-Larcher
0860193T;Henri Denard;ecole;public;86100;Châtellerault
0860194U;Edouard Herriot;ecole;public;86100;Châtellerault
0860195V;Jules Ferry;ecole;public;86100;Châtellerault
0860196W;Paul Painlevé;ecole;public;86100;Châtellerault
0860200A;Lavoisier;ecole;public;86100;Châtellerault
0860202C;Paul Bert;ecole;public;86100;Châtellerault
0860203D;Ferdinand Buisson;ecole;public;86100;Châtellerault
0860207H;d'Antoigné;ecole;public;86100;Châtellerault
0860216T;-;ecole;public;86510;Chaunay
0860219W;Jean Arnault;ecole;public;86300;Chauvigny
0860223A;Saint-Martial;ecole;public;86300;Chauvigny
0860227E;de Villeneuve;ecole;public;86300;Chauvigny
0860229G;-;ecole;public;86450;Chenevelles
0860232K;-;ecole;public;86170;Cherves
0860233L;-;ecole;public;86190;Chiré-en-Montreuil
0860234M;Aramis Prinet;ecole;public;86110;Chouppes
